0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,0.6,3.8,4.7,,11.0,,,,,,,,,,
2023-05-01 00:10:00,0.6,3.4,4.4,,11.0,,,,,,,,,,
2023-05-01 00:15:00,0.7,3.1,4.2,,11.0,,,,,,,,,,
2023-05-01 00:20:00,0.7,3.3,4.4,80.2,11.0,,,,,,,,,,
2023-05-01 00:25:00,0.6,3.4,4.3,74.0,11.0,,,,,,,,,,
2023-05-01 00:30:00,0.7,3.9,4.9,73.6,11.0,,,,,,,,,,
2023-05-01 00:35:00,0.7,4.5,5.6,70.2,11.0,,,,,,,,,,
2023-05-01 00:40:00,0.6,5.3,6.2,67.5,19.6,,,,,,,,,,
2023-05-01 00:45:00,0.7,5.6,6.8,61.7,21.0,,,,,,,,,,
2023-05-01 00:50:00,0.8,6.9,8.0,58.5,21.0,,,,,,,,,,
2023-05-01 00:55:00,0.7,7.6,8.6,61.6,21.0,,,,,,,,,,
2023-05-01 01:00:00,0.6,7.0,7.9,58.3,21.0,,,,,,,,,,
2023-05-01 01:05:00,0.7,5.5,6.5,67.1,21.0,,,,,,,,,,
2023-05-01 01:10:00,0.7,5.6,6.6,66.6,21.0,,,,,,,,,,
2023-05-01 01:15:00,0.8,7.5,8.7,68.2,21.0,,,,,,,,,,
2023-05-01 01:20:00,0.7,5.7,6.8,70.5,21.0,,,,,,,,,,
2023-05-01 01:25:00,0.8,5.0,6.1,70.6,21.0,,,,,,,,,,
2023-05-01 01:30:00,0.7,4.7,5.7,75.3,21.0,,,,,,,,,,
2023-05-01 01:35:00,0.5,4.2,5.0,74.5,21.0,,,,,,,,,,
2023-05-01 01:40:00,0.6,4.7,5.6,72.5,20.2,,,,,,,,,,
2023-05-01 01:45:00,0.6,5.2,6.1,68.0,20.0,,,,,,,,,,
2023-05-01 01:50:00,0.8,4.3,5.5,71.2,20.0,,,,,,,,,,
2023-05-01 01:55:00,0.6,4.2,5.2,74.2,20.0,,,,,,,,,,
2023-05-01 02:00:00,0.7,4.0,5.0,72.7,20.0,,,,,,,,,,
2023-05-01 02:05:00,0.6,3.7,4.6,75.5,20.0,,,,,,,,,,
2023-05-01 02:10:00,0.6,3.4,4.3,74.1,20.0,,,,,,,,,,
2023-05-01 02:15:00,0.6,4.6,5.5,70.3,20.0,,,,,,,,,,
2023-05-01 02:20:00,0.6,6.8,7.8,66.8,20.0,,,,,,,,,,
2023-05-01 02:25:00,0.6,6.7,7.6,68.1,20.0,,,,,,,,,,
2023-05-01 02:30:00,0.7,6.0,7.0,69.4,20.0,,,,,,,,,,
