0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,0.5,17.4,18.2,28.5,,16.63,86.2,3.7,12.1,153.0,2.0,,,0.43,
2023-05-01 00:10:00,0.6,17.6,18.6,28.0,,16.17,86.6,4.0,12.0,150.0,2.3,,,0.41,0.0
2023-05-01 00:15:00,0.6,17.4,18.3,27.1,,15.94,86.9,3.6,11.9,149.0,2.5,,,0.41,
2023-05-01 00:20:00,0.5,16.8,17.6,28.5,,15.75,87.1,4.2,11.8,150.0,2.5,,,0.4,0.0
2023-05-01 00:25:00,0.7,16.9,17.9,27.6,,15.85,87.3,4.6,11.7,151.0,2.4,,,0.38,
2023-05-01 00:30:00,0.6,15.6,16.6,27.9,,16.04,87.5,3.8,11.7,156.0,2.1,,,0.38,0.0
2023-05-01 00:35:00,0.4,14.8,15.4,30.0,,16.35,87.5,4.3,11.6,156.0,2.2,,,0.37,
2023-05-01 00:40:00,0.3,14.3,14.7,32.9,,16.24,87.5,4.4,11.6,157.0,2.4,,,0.35,0.0
2023-05-01 00:45:00,0.5,14.0,14.7,32.7,,16.62,87.4,4.0,11.6,157.0,2.5,,,0.35,
2023-05-01 00:50:00,,,,30.9,,16.3,87.5,3.6,11.6,160.0,2.8,,,0.36,
2023-05-01 00:55:00,,,,33.0,,16.16,87.8,3.9,11.5,158.0,2.8,,,0.38,
2023-05-01 01:00:00,,,,33.2,,15.84,88.0,3.2,11.4,154.0,2.3,,,0.38,
2023-05-01 01:05:00,,,,33.8,,15.44,88.1,3.2,11.4,147.0,2.6,,,0.36,
2023-05-01 01:10:00,,,,31.6,,15.44,88.2,3.4,11.3,151.0,1.9,,,0.32,
2023-05-01 01:15:00,2.0,13.2,16.3,30.4,,15.61,88.2,3.4,11.3,153.0,1.8,,,0.32,
2023-05-01 01:20:00,2.0,13.7,16.8,31.7,,15.88,88.2,3.5,11.3,155.0,1.8,,,0.32,0.0
2023-05-01 01:25:00,0.3,11.3,11.8,35.3,,16.19,88.4,3.4,11.2,160.0,2.1,,,0.32,
2023-05-01 01:30:00,0.4,11.6,12.2,37.0,,16.12,88.7,3.9,11.2,160.0,2.5,,,0.32,0.0
2023-05-01 01:35:00,0.4,10.9,11.5,36.9,,15.96,88.9,3.2,11.2,155.0,2.1,,,0.32,
2023-05-01 01:40:00,0.4,9.9,10.5,37.3,,15.83,88.6,3.7,11.2,158.0,2.2,,,0.32,0.0
2023-05-01 01:45:00,0.3,10.3,10.6,35.9,,15.91,88.4,3.7,11.2,154.0,2.2,,,0.32,
2023-05-01 01:50:00,0.3,10.4,10.8,,,16.08,88.4,4.1,11.1,151.0,2.3,,,0.32,0.0
2023-05-01 01:55:00,0.4,10.7,11.3,,,16.06,88.8,3.7,11.0,149.0,2.3,,,0.32,
2023-05-01 02:00:00,0.5,11.3,12.0,,,16.28,89.1,3.8,10.9,146.0,2.0,,,0.32,0.0
2023-05-01 02:05:00,0.5,11.4,12.1,,,16.43,89.2,3.8,10.8,150.0,2.4,,,0.32,
2023-05-01 02:10:00,0.5,11.4,12.2,,,16.25,89.8,4.7,10.7,152.0,2.3,,,0.32,0.0
2023-05-01 02:15:00,0.3,11.0,11.5,29.9,,16.3,90.4,3.9,10.6,154.0,2.2,,,0.32,
2023-05-01 02:20:00,0.5,9.9,10.6,29.2,,16.63,90.8,4.4,10.5,155.0,2.0,,,0.33,0.0
2023-05-01 02:25:00,0.2,10.8,11.1,29.1,,17.04,90.9,4.5,10.5,150.0,1.5,,,0.35,
2023-05-01 02:30:00,0.4,10.8,11.4,31.9,,17.13,91.2,3.9,10.4,148.0,1.9,,,0.35,0.0
2023-05-01 02:35:00,0.4,10.5,11.2,31.5,,17.65,91.5,4.2,10.4,151.0,1.5,,,0.35,
2023-05-01 02:40:00,0.4,10.9,11.6,31.9,,18.24,91.6,4.4,10.4,155.0,1.7,,,0.35,0.0
2023-05-01 02:45:00,0.2,10.5,10.9,32.1,,18.05,91.8,3.9,10.4,151.0,2.1,,,0.35,
2023-05-01 02:50:00,0.4,11.1,11.7,30.1,,17.95,91.8,,10.4,151.0,2.1,,,0.36,0.0
2023-05-01 02:55:00,0.5,12.1,13.0,28.1,,18.06,91.9,,10.4,156.0,2.0,,,0.38,
2023-05-01 03:00:00,12.4,19.9,38.9,24.2,,17.98,91.8,,10.4,156.0,2.0,,,0.38,0.0
2023-05-01 03:05:00,0.4,12.4,13.0,29.5,,17.9,92.0,,10.4,153.0,2.4,,,0.4,
2023-05-01 03:10:00,0.5,12.6,13.3,30.5,,17.44,92.3,,10.4,153.0,2.4,,,0.41,0.0
2023-05-01 03:15:00,0.7,12.1,13.1,29.5,,17.39,92.3,4.0,10.4,151.0,2.4,,,0.41,
2023-05-01 03:20:00,0.3,12.4,12.8,29.1,,17.52,92.4,4.1,10.4,153.0,2.1,,,0.43,0.0
2023-05-01 03:25:00,0.3,12.3,12.6,30.5,,17.53,92.5,3.8,10.4,154.0,1.8,,,0.45,
2023-05-01 03:30:00,0.3,12.8,13.2,29.3,,17.31,92.5,3.8,10.4,150.0,2.1,,,0.45,0.0
2023-05-01 03:35:00,0.4,12.8,13.5,27.7,,17.51,92.4,3.8,10.4,151.0,2.4,,,0.46,
2023-05-01 03:40:00,0.5,12.1,12.9,29.0,,17.4,92.5,3.9,10.3,150.0,3.0,,,0.48,0.0
2023-05-01 03:45:00,0.5,13.2,14.0,26.5,,17.31,92.5,4.2,10.3,152.0,3.1,,,0.48,
2023-05-01 03:50:00,3.1,15.5,20.3,22.9,,17.73,92.9,4.5,10.2,155.0,2.7,,,0.49,0.0
2023-05-01 03:55:00,0.5,14.4,15.1,24.0,,18.12,93.1,4.0,10.2,157.0,2.9,,,0.51,
2023-05-01 04:00:00,0.5,16.1,16.8,27.0,,18.3,93.5,4.9,10.2,159.0,3.0,,,0.51,0.0
2023-05-01 04:05:00,0.3,14.2,14.6,27.9,,18.09,93.8,3.7,10.2,157.0,2.8,,,0.51,
2023-05-01 04:10:00,0.5,13.6,14.3,28.0,,18.01,93.7,3.9,10.2,155.0,2.6,,,0.51,0.0
2023-05-01 04:15:00,0.4,13.2,13.8,28.6,,17.75,93.7,3.6,10.2,155.0,2.4,,,0.51,
2023-05-01 04:20:00,0.3,12.5,13.0,28.8,,17.53,93.8,4.1,10.1,152.0,2.5,,,0.51,0.0
