0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,,,,,,12.72,,2.1,,,,,,0.32,
2023-05-01 00:10:00,,,,,,12.63,,1.9,,,,,,0.32,
2023-05-01 00:15:00,,,,,,12.74,,1.7,,,,,,0.26,
2023-05-01 00:20:00,,,,,,12.39,,2.4,,,,,,0.26,
2023-05-01 00:25:00,,,,,,12.07,,2.2,,,,,,0.26,
2023-05-01 00:30:00,,,,,,12.03,,2.4,,,,,,0.32,
2023-05-01 00:35:00,,,,,,11.86,,2.2,,,,,,0.32,
2023-05-01 00:40:00,,,,,,12.38,,2.3,,,,,,0.32,
2023-05-01 00:45:00,,,,,,12.28,,2.4,,,,,,0.26,
2023-05-01 00:50:00,,,,,,11.81,,2.1,,,,,,0.26,
2023-05-01 00:55:00,,,,,,11.89,,2.2,,,,,,0.26,
2023-05-01 01:00:00,,,,,,11.8,,2.2,,,,,,0.29,
2023-05-01 01:05:00,,,,,,11.64,,2.6,,,,,,0.29,
2023-05-01 01:10:00,,,,,,11.39,,2.7,,,,,,0.29,
2023-05-01 01:15:00,,,,,,11.07,,2.2,,,,,,0.26,
2023-05-01 01:20:00,,,,,,10.96,,2.0,,,,,,0.26,
2023-05-01 01:25:00,,,,,,10.88,,2.6,,,,,,0.26,
2023-05-01 01:30:00,,,,,,10.94,,2.2,,,,,,0.22,
2023-05-01 01:35:00,,,,,,11.3,,2.1,,,,,,0.22,
2023-05-01 01:40:00,,,,,,11.08,,2.2,,,,,,0.22,
2023-05-01 01:45:00,,,,,,11.31,,1.9,,,,,,0.29,
2023-05-01 01:50:00,,,,,,11.47,,2.7,,,,,,0.29,
2023-05-01 01:55:00,,,,,,,,2.2,,,,,,0.29,
2023-05-01 02:00:00,,,,,,11.15,,2.7,,,,,,0.29,
2023-05-01 02:05:00,,,,,,11.15,,2.0,,,,,,0.29,
2023-05-01 02:10:00,,,,,,11.12,,1.9,,,,,,0.29,
2023-05-01 02:15:00,,,,,,10.58,,2.0,,,,,,0.26,
2023-05-01 02:20:00,,,,,,9.84,,2.8,,,,,,0.26,
2023-05-01 02:25:00,,,,,,8.73,,3.0,,,,,,0.26,
2023-05-01 02:30:00,,,,,,8.06,,2.4,,,,,,0.26,
2023-05-01 02:35:00,,,,,,7.25,,2.4,,,,,,0.26,
2023-05-01 02:40:00,,,,,,6.5,,2.3,,,,,,0.26,
2023-05-01 02:45:00,,,,,,5.96,,2.2,,,,,,0.26,
2023-05-01 02:50:00,,,,,,5.78,,2.3,,,,,,0.26,
2023-05-01 02:55:00,,,,,,5.36,,2.0,,,,,,0.26,
2023-05-01 03:00:00,,,,,,5.15,,2.3,,,,,,0.29,
2023-05-01 03:05:00,,,,,,5.4,,2.5,,,,,,0.29,
2023-05-01 03:10:00,,,,,,5.73,,2.3,,,,,,0.29,
2023-05-01 03:15:00,,,,,,5.69,,2.3,,,,,,0.35,
2023-05-01 03:20:00,,,,,,5.69,,1.8,,,,,,0.35,
2023-05-01 03:25:00,,,,,,5.69,,2.4,,,,,,0.35,
2023-05-01 03:30:00,,,,,,5.59,,2.5,,,,,,0.32,
2023-05-01 03:35:00,,,,,,6.29,,2.7,,,,,,0.32,
2023-05-01 03:40:00,,,,,,7.09,,2.6,,,,,,0.32,
2023-05-01 03:45:00,,,,,,7.8,,1.9,,,,,,1.28,
2023-05-01 03:50:00,,,,,,8.69,,2.9,,,,,,1.28,
2023-05-01 03:55:00,,,,,,9.83,,2.8,,,,,,1.28,
2023-05-01 04:00:00,,,,,,10.56,,2.8,,,,,,0.45,
2023-05-01 04:05:00,,,,,,10.59,,2.4,,,,,,0.45,
2023-05-01 04:10:00,,,,,,10.49,,2.0,,,,,,0.45,
2023-05-01 04:15:00,,,,,,10.48,,2.6,,,,,,0.41,
2023-05-01 04:20:00,,,,,,10.76,,2.7,,,,,,0.41,
2023-05-01 04:25:00,,,,,,11.04,,2.8,,,,,,0.41,
2023-05-01 04:30:00,,,,,,11.61,,2.9,,,,,,0.41,
2023-05-01 04:35:00,,,,,,11.98,,2.6,,,,,,0.41,
2023-05-01 04:40:00,,,,,,11.73,,2.7,,,,,,0.41,
2023-05-01 04:45:00,,,,,,11.39,,3.0,,,,,,0.45,
2023-05-01 04:50:00,,,,,,11.68,,,,,,,,0.45,
2023-05-01 04:55:00,,,,,,11.88,,,,,,,,0.45,
2023-05-01 05:00:00,,,,,,12.19,,,,,,,,0.48,
2023-05-01 05:05:00,,,,,,12.63,,,,,,,,0.48,
2023-05-01 05:10:00,,,,,,13.24,,,,,,,,0.48,
2023-05-01 05:15:00,,,,,,13.55,,,,,,,,0.57,
2023-05-01 05:20:00,,,,,,13.72,,,,,,,,0.57,
2023-05-01 05:25:00,,,,,,14.47,,3.2,,,,,,0.57,
2023-05-01 05:30:00,,,,,,14.89,,3.1,,,,,,0.54,
2023-05-01 05:35:00,,,,,,14.87,,3.3,,,,,,0.54,
2023-05-01 05:40:00,,,,,,14.96,,2.9,,,,,,0.54,
2023-05-01 05:45:00,,,,,,15.0,,2.8,,,,,,0.86,
2023-05-01 05:50:00,,,,,,14.9,,3.6,,,,,,0.86,
2023-05-01 05:55:00,,,,,,14.91,,2.6,,,,,,0.86,
2023-05-01 06:00:00,,,,,,15.4,,2.8,,,,,,1.02,
2023-05-01 06:05:00,,,,,,15.91,,2.9,,,,,,1.02,
2023-05-01 06:10:00,,,,,,16.07,,3.2,,,,,,1.02,
2023-05-01 06:15:00,,,,,,16.18,,2.9,,,,,,0.57,
2023-05-01 06:20:00,,,,,,16.03,,2.9,,,,,,0.57,
2023-05-01 06:25:00,,,,,,16.17,,2.8,,,,,,0.57,
2023-05-01 06:30:00,,,,,,16.5,,2.8,,,,,,0.48,
2023-05-01 06:35:00,,,,,,16.35,,2.9,,,,,,0.48,
2023-05-01 06:40:00,,,,,,16.59,,2.9,,,,,,0.48,
2023-05-01 06:45:00,,,,,,16.82,,3.3,,,,,,0.57,
2023-05-01 06:50:00,,,,,,17.24,,3.1,,,,,,0.57,
2023-05-01 06:55:00,,,,,,17.86,,3.1,,,,,,0.57,
2023-05-01 07:00:00,,,,,,18.68,,3.6,,,,,,0.57,
2023-05-01 07:05:00,,,,,,18.94,,2.5,,,,,,0.57,
2023-05-01 07:10:00,,,,,,18.92,,2.4,,,,,,0.57,
2023-05-01 07:15:00,,,,,,18.94,,2.5,,,,,,0.35,
2023-05-01 07:20:00,,,,,,19.1,,3.2,,,,,,0.35,
2023-05-01 07:25:00,,,,,,19.34,,2.8,,,,,,0.35,
2023-05-01 07:30:00,,,,,,19.56,,2.7,,,,,,0.45,
2023-05-01 07:35:00,,,,,,19.29,,2.7,,,,,,0.45,
