0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,1.6,13.9,16.2,,20.0,,87.0,4.6,12.5,,,0.0,,,
2023-05-01 00:10:00,1.4,7.4,9.5,,7.0,,87.0,4.6,12.5,,,0.0,,,0.0
2023-05-01 00:15:00,1.5,6.7,8.9,,7.0,,87.0,4.6,12.4,,,0.0,,,
2023-05-01 00:20:00,1.4,6.8,9.0,71.9,7.0,,87.0,4.4,12.4,,,0.0,,,0.0
2023-05-01 00:25:00,1.5,6.4,8.6,73.5,7.0,,87.0,4.4,12.4,,,0.0,,,
2023-05-01 00:30:00,1.5,6.1,8.3,73.5,7.0,,87.0,4.6,12.4,,,0.0,,,0.0
2023-05-01 00:35:00,1.4,6.0,8.2,70.1,7.0,,86.0,4.7,12.5,,,0.0,,,
2023-05-01 00:40:00,1.3,7.2,9.2,71.0,11.0,,86.0,4.9,12.5,,,0.0,,,0.0
2023-05-01 00:45:00,1.4,4.9,7.1,76.0,11.0,,87.0,4.7,12.3,,,0.0,,,
2023-05-01 00:50:00,1.5,4.4,6.7,76.7,11.0,,87.0,5.0,12.3,,,0.0,,,0.0
2023-05-01 00:55:00,1.5,4.2,6.4,78.2,11.0,,86.0,4.9,12.2,,,0.0,,,
2023-05-01 01:00:00,1.4,4.5,6.6,77.3,11.0,,87.0,4.8,12.2,,,0.0,,,0.0
2023-05-01 01:05:00,1.4,5.2,7.2,74.5,11.0,,87.0,4.3,12.2,,,0.0,,,
2023-05-01 01:10:00,1.5,5.9,8.1,70.5,11.0,,87.0,4.9,12.2,,,0.0,,,0.0
2023-05-01 01:15:00,1.4,4.9,7.1,71.8,11.0,,87.0,4.7,12.0,,,0.0,,,
2023-05-01 01:20:00,1.4,4.4,6.4,75.0,11.0,,87.0,5.0,12.0,,,0.0,,,0.0
2023-05-01 01:25:00,1.5,3.5,5.7,75.0,11.0,,87.0,4.6,11.9,,,0.0,,,
2023-05-01 01:30:00,1.4,3.6,5.8,79.2,11.0,,87.0,4.5,11.9,,,0.0,,,0.0
2023-05-01 01:35:00,1.5,3.6,5.9,81.6,11.0,,86.0,4.8,12.0,,,0.0,,,
2023-05-01 01:40:00,1.4,3.8,5.8,81.7,15.0,,86.0,4.8,12.0,,,0.0,,,0.0
2023-05-01 01:45:00,1.5,3.3,5.5,82.5,15.0,,85.0,4.8,12.1,,,0.0,,,
2023-05-01 01:50:00,1.6,3.1,5.5,82.8,15.0,,85.0,5.2,12.1,,,0.0,,,0.0
2023-05-01 01:55:00,1.4,3.0,5.1,82.6,15.0,,85.0,4.8,12.1,,,0.0,,,
2023-05-01 02:00:00,1.5,3.0,5.2,80.6,15.0,,85.0,5.2,12.0,,,0.0,,,0.0
2023-05-01 02:05:00,1.5,2.9,5.1,79.2,15.0,,85.0,4.9,12.0,,,0.0,,,
2023-05-01 02:10:00,1.5,3.5,5.7,78.1,17.0,,85.0,4.7,11.9,,,0.0,,,0.0
2023-05-01 02:15:00,1.4,3.3,5.4,76.1,17.0,,86.0,5.0,11.9,,,0.0,,,
2023-05-01 02:20:00,1.5,3.3,5.4,72.8,17.0,,86.0,4.6,12.0,,,0.0,,,0.0
2023-05-01 02:25:00,1.4,3.1,5.2,76.0,17.0,,86.0,4.8,11.9,,,0.0,,,
2023-05-01 02:30:00,1.6,5.4,7.9,74.3,17.0,,87.0,5.2,11.8,,,0.0,,,0.0
2023-05-01 02:35:00,1.5,4.7,6.9,74.4,17.0,,87.0,5.0,11.7,,,0.0,,,
2023-05-01 02:40:00,1.5,5.4,7.7,74.5,18.0,,87.0,4.5,11.7,,,0.0,,,0.0
2023-05-01 02:45:00,1.5,4.5,6.7,76.7,18.0,,87.0,4.6,11.7,,,0.0,,,
2023-05-01 02:50:00,,,,73.2,18.0,,87.0,5.0,11.7,,,0.0,,,
2023-05-01 02:55:00,,,,61.4,18.0,,87.0,4.8,11.7,,,0.0,,,
2023-05-01 03:00:00,,,,65.8,18.0,,87.0,4.9,11.5,,,0.0,,,
2023-05-01 03:05:00,,,,76.2,18.0,,88.0,4.6,11.6,,,0.0,,,
2023-05-01 03:10:00,,,,75.6,15.0,,88.0,4.7,11.7,,,0.0,,,
2023-05-01 03:15:00,1.4,4.2,6.3,62.2,15.0,,87.0,4.9,11.6,,,0.0,,,
