0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,0.1,28.6,28.7,25.3,,,,,,,,,,2.14,
2023-05-01 00:10:00,0.0,24.7,24.7,26.3,,,,,,,,,,2.14,
2023-05-01 00:15:00,0.0,19.2,19.2,29.7,,,,,,,,,,2.14,
2023-05-01 00:20:00,0.0,17.0,17.0,29.7,,,,,,,,,,1.66,
2023-05-01 00:25:00,0.0,14.6,14.6,31.5,,,,,,,,,,1.66,
2023-05-01 00:30:00,0.0,15.5,15.5,30.7,,,,,,,,,,1.66,
2023-05-01 00:35:00,0.0,20.3,20.4,31.6,,,,,,,,,,1.63,
2023-05-01 00:40:00,0.0,19.8,19.8,29.8,,,,,,,,,,1.63,
2023-05-01 00:45:00,0.0,18.7,18.7,28.8,,,,,,,,,,1.63,
2023-05-01 00:50:00,0.0,19.2,19.2,28.6,,,,,,,,,,2.9,
2023-05-01 00:55:00,0.0,17.7,17.8,29.0,,,,,,,,,,2.9,
2023-05-01 01:00:00,0.2,19.0,19.3,29.7,,,,,,,,,,2.9,
2023-05-01 01:05:00,0.1,24.9,25.0,29.0,,,,,,,,,,4.69,
2023-05-01 01:10:00,0.0,24.0,24.0,25.7,,,,,,,,,,4.69,
2023-05-01 01:15:00,0.0,23.7,23.7,23.6,,,,,,,,,,4.69,
2023-05-01 01:20:00,0.0,25.1,25.1,27.8,,,,,,,,,,4.43,
2023-05-01 01:25:00,0.0,23.4,23.4,28.7,,,,,,,,,,4.43,
2023-05-01 01:30:00,0.0,20.6,20.6,31.4,,,,,,,,,,4.43,
2023-05-01 01:35:00,0.0,22.0,22.1,33.3,,,,,,,,,,3.67,
2023-05-01 01:40:00,0.0,17.5,17.5,36.5,,,,,,,,,,3.67,
2023-05-01 01:45:00,0.2,18.8,19.1,38.1,,,,,,,,,,3.67,
2023-05-01 01:50:00,0.0,16.8,16.8,40.0,,,,,,,,,,2.68,
2023-05-01 01:55:00,0.0,15.4,15.4,41.1,,,,,,,,,,2.68,
2023-05-01 02:00:00,0.1,18.5,18.7,39.8,,,,,,,,,,2.68,
2023-05-01 02:05:00,0.1,19.9,20.0,37.6,,,,,,,,,,2.23,
2023-05-01 02:10:00,0.4,16.1,16.7,35.1,,,,,,,,,,2.23,
2023-05-01 02:15:00,0.0,15.3,15.3,35.2,,,,,,,,,,2.23,
2023-05-01 02:20:00,0.0,16.3,16.4,32.7,,,,,,,,,,2.23,
2023-05-01 02:25:00,0.0,16.7,16.7,32.2,,,,,,,,,,2.23,
2023-05-01 02:30:00,0.5,16.7,17.5,30.3,,,,,,,,,,2.23,
2023-05-01 02:35:00,0.0,14.2,14.2,30.4,,,,,,,,,,2.01,
2023-05-01 02:40:00,0.0,17.2,17.2,27.4,,,,,,,,,,2.01,
2023-05-01 02:45:00,0.0,16.1,16.1,24.1,,,,,,,,,,2.01,
2023-05-01 02:50:00,0.0,17.2,17.2,20.3,,,,,,,,,,2.14,
2023-05-01 02:55:00,0.0,16.6,16.6,19.7,,,,,,,,,,2.14,
2023-05-01 03:00:00,0.0,15.5,15.5,18.6,,,,,,,,,,2.14,
2023-05-01 03:05:00,0.0,15.0,15.0,17.2,,,,,,,,,,2.68,
2023-05-01 03:10:00,0.0,18.2,18.2,16.3,,,,,,,,,,2.68,
2023-05-01 03:15:00,0.0,18.8,18.8,16.7,,,,,,,,,,2.68,
2023-05-01 03:20:00,0.0,15.6,15.6,19.2,,,,,,,,,,2.81,
2023-05-01 03:25:00,0.0,16.4,16.4,17.6,,,,,,,,,,2.81,
2023-05-01 03:30:00,0.4,17.6,18.2,19.0,,,,,,,,,,2.81,
2023-05-01 03:35:00,0.1,17.8,18.0,18.2,,,,,,,,,,2.74,
2023-05-01 03:40:00,0.0,21.9,22.0,18.0,,,,,,,,,,2.74,
2023-05-01 03:45:00,0.0,19.6,19.6,17.9,,,,,,,,,,2.74,
2023-05-01 03:50:00,0.0,16.6,16.6,16.9,,,,,,,,,,3.0,
2023-05-01 03:55:00,0.0,16.2,16.2,16.3,,,,,,,,,,3.0,
2023-05-01 04:00:00,0.0,18.9,18.9,14.4,,,,,,,,,,3.0,
2023-05-01 04:05:00,0.0,18.4,18.4,12.4,,,,,,,,,,2.87,
2023-05-01 04:10:00,0.1,19.9,20.0,10.2,,,,,,,,,,2.87,
2023-05-01 04:15:00,0.0,22.0,22.0,10.5,,,,,,,,,,2.87,
2023-05-01 04:20:00,0.0,25.5,25.5,10.1,,,,,,,,,,2.71,
2023-05-01 04:25:00,0.0,27.4,27.4,8.7,,,,,,,,,,2.71,
2023-05-01 04:30:00,0.0,27.1,27.1,8.9,,,,,,,,,,2.71,
2023-05-01 04:35:00,0.0,27.4,27.4,8.1,,,,,,,,,,2.81,
2023-05-01 04:40:00,0.0,24.3,24.4,8.3,,,,,,,,,,2.81,
2023-05-01 04:45:00,0.2,20.0,20.3,7.8,,,,,,,,,,2.81,
2023-05-01 04:50:00,0.2,17.2,17.5,9.7,,,,,,,,,,2.93,
2023-05-01 04:55:00,0.3,16.4,16.7,13.9,,,,,,,,,,2.93,
2023-05-01 05:00:00,0.0,10.2,10.2,17.8,,,,,,,,,,2.93,
2023-05-01 05:05:00,,,,19.1,,,,,,,,,,2.93,
2023-05-01 05:10:00,,,,20.2,,,,,,,,,,2.93,
2023-05-01 05:15:00,,,,20.6,,,,,,,,,,2.93,
2023-05-01 05:20:00,,,,18.7,,,,,,,,,,4.18,
2023-05-01 05:25:00,,,,18.6,,,,,,,,,,4.18,
2023-05-01 05:30:00,,,,20.5,,,,,,,,,,4.18,
2023-05-01 05:35:00,0.0,14.2,14.2,,,,,,,,,,,3.73,
2023-05-01 05:40:00,0.0,12.2,12.2,,,,,,,,,,,3.73,
2023-05-01 05:45:00,0.9,19.5,20.9,,,,,,,,,,,3.73,
2023-05-01 05:50:00,55.3,35.2,119.7,,,,,,,,,,,3.51,
2023-05-01 05:55:00,51.3,39.3,117.6,,,,,,,,,,,3.51,
2023-05-01 06:00:00,10.4,23.4,39.3,,,,,,,,,,,3.51,
2023-05-01 06:05:00,8.5,28.9,41.9,,,,,,,,,,,2.97,
2023-05-01 06:10:00,8.3,32.4,45.1,,,,,,,,,,,2.97,
2023-05-01 06:15:00,6.5,35.8,45.7,,,,,,,,,,,2.97,
2023-05-01 06:20:00,7.8,42.1,54.0,27.3,,,,,,,,,,2.26,
2023-05-01 06:25:00,8.7,43.0,56.4,29.2,,,,,,,,,,2.26,
2023-05-01 06:30:00,10.5,45.5,61.6,32.1,,,,,,,,,,2.26,
2023-05-01 06:35:00,10.3,40.9,56.7,34.5,,,,,,,,,,2.07,
2023-05-01 06:40:00,6.4,37.2,46.9,41.6,,,,,,,,,,2.07,
2023-05-01 06:45:00,2.7,25.0,29.1,50.0,,,,,,,,,,2.07,
2023-05-01 06:50:00,2.3,22.2,25.7,56.0,,,,,,,,,,1.56,
2023-05-01 06:55:00,,,,,,,,,,,,,,,
2023-05-01 07:00:00,1.9,15.0,18.0,66.8,,,,,,,,,,1.56,
2023-05-01 07:05:00,2.9,18.4,22.8,72.8,,,,,,,,,,1.44,
2023-05-01 07:10:00,0.4,17.9,18.5,79.4,,,,,,,,,,1.44,
2023-05-01 07:15:00,1.6,16.3,18.7,82.0,,,,,,,,,,1.44,
2023-05-01 07:20:00,2.6,13.1,17.0,85.3,,,,,,,,,,1.12,
2023-05-01 07:25:00,0.6,14.2,15.1,94.1,,,,,,,,,,1.12,
2023-05-01 07:30:00,,,,,,,,,,,,,,,
2023-05-01 07:35:00,,,,,,,,,,,,,,,
2023-05-01 07:40:00,0.0,16.8,16.8,99.9,,,,,,,,,,1.34,
2023-05-01 07:45:00,0.4,11.8,12.4,101.6,,,,,,,,,,1.34,
2023-05-01 07:50:00,0.7,19.3,20.3,102.8,,,,,,,,,,0.57,
2023-05-01 07:55:00,8.1,45.2,57.5,91.4,,,,,,,,,,0.57,
2023-05-01 08:00:00,5.9,38.5,47.6,85.4,,,,,,,,,,0.57,
2023-05-01 08:05:00,5.3,36.4,44.5,85.3,,,,,,,,,,0.38,
2023-05-01 08:10:00,2.9,35.3,39.7,89.0,,,,,,,,,,0.38,
2023-05-01 08:15:00,3.1,33.5,38.2,89.3,,,,,,,,,,0.38,
2023-05-01 08:20:00,3.6,30.6,36.1,90.3,,,,,,,,,,0.29,
2023-05-01 08:25:00,3.6,31.3,36.8,91.2,,,,,,,,,,0.29,
2023-05-01 08:30:00,2.8,30.6,34.9,92.2,,,,,,,,,,0.29,
2023-05-01 08:35:00,3.1,28.4,33.0,94.9,,,,,,,,,,0.26,
2023-05-01 08:40:00,1.7,27.9,30.5,97.2,,,,,,,,,,0.26,
2023-05-01 08:45:00,,,,,,,,,,,,,,,
2023-05-01 08:50:00,3.6,26.6,32.2,96.0,,,,,,,,,,0.22,
2023-05-01 08:55:00,,,,,,,,,,,,,,,
2023-05-01 09:00:00,,,,,,,,,,,,,,,
2023-05-01 09:05:00,0.1,21.6,21.8,98.8,,,,,,,,,,0.19,
2023-05-01 09:10:00,0.0,17.7,17.7,104.0,,,,,,,,,,0.19,
2023-05-01 09:15:00,0.0,13.5,13.5,108.0,,,,,,,,,,0.19,
2023-05-01 09:20:00,0.1,5.4,5.5,112.6,,,,,,,,,,0.19,
2023-05-01 09:25:00,0.0,7.6,7.6,114.3,,,,,,,,,,0.19,
2023-05-01 09:30:00,0.0,11.3,11.3,113.1,,23.0,,,,,,,,0.19,
2023-05-01 09:35:00,1.7,12.9,15.4,111.9,,23.0,,,,,,,,0.06,
2023-05-01 09:40:00,0.0,4.4,4.4,114.3,,,,,,,,,,0.06,
2023-05-01 09:45:00,3.6,6.2,11.6,116.9,,,,,21.8,,,,,0.06,
2023-05-01 09:50:00,0.0,5.5,5.5,120.2,,,,,21.8,,,,,0.1,inf
2023-05-01 09:55:00,0.0,6.1,6.1,120.0,,,,,21.8,,,,,0.1,
2023-05-01 10:00:00,0.0,3.3,3.3,121.9,,,,,21.8,,,,,0.1,inf
2023-05-01 10:05:00,0.0,6.2,6.2,123.2,,,,,21.8,,,,,0.1,
2023-05-01 10:10:00,0.4,6.7,7.2,123.2,,,,,21.8,,,,,0.1,14853.198564053208
2023-05-01 10:15:00,0.0,5.9,5.9,122.0,,,,,21.8,,,,,0.1,
2023-05-01 10:20:00,0.0,4.8,4.8,123.4,,,,,21.8,,,,,0.1,inf
2023-05-01 10:25:00,0.0,5.4,5.4,125.1,,,,,21.8,,,,,0.1,
2023-05-01 10:30:00,0.0,3.1,3.1,126.0,,,,,21.8,,,,,0.1,inf
2023-05-01 10:35:00,0.5,2.5,3.2,127.8,,,,,21.8,,,,,0.13,
2023-05-01 10:40:00,0.0,3.4,3.4,131.1,,,,,22.0,,,,,0.13,inf
2023-05-01 10:45:00,0.0,2.4,2.4,130.9,,14.0,,,22.1,,,,,0.13,
2023-05-01 10:50:00,0.1,3.5,3.6,131.1,,14.0,,,22.1,,,,,0.13,20910.069996363593
2023-05-01 10:55:00,0.0,5.7,5.7,132.9,,14.0,,,22.1,,,,,0.13,
2023-05-01 11:00:00,0.0,4.3,4.3,135.7,,14.0,,,22.1,,,,,0.13,inf
2023-05-01 11:05:00,0.1,2.0,2.1,136.7,,14.0,,,22.1,,,,,0.13,
2023-05-01 11:10:00,0.0,5.3,5.4,136.6,,14.0,,,22.1,,,,,0.13,inf
2023-05-01 11:15:00,10.6,10.9,27.1,133.1,,14.0,,,22.1,,,,,0.13,
2023-05-01 11:20:00,0.1,6.9,7.1,135.1,,14.0,,,22.1,,,,,0.13,69594.90697413664
2023-05-01 11:25:00,0.0,2.6,2.6,140.4,,14.0,,,22.1,,,,,0.13,
2023-05-01 11:30:00,0.0,6.5,6.5,141.6,,14.0,,,22.1,,,,,0.13,inf
2023-05-01 11:35:00,0.1,8.2,8.3,139.9,,14.0,,,22.1,,,,,0.45,
2023-05-01 11:40:00,0.0,11.2,11.3,132.1,,16.0,,,22.8,,,,,0.45,inf
2023-05-01 11:45:00,0.0,8.6,8.6,133.3,,16.0,,,23.6,,,,,0.45,
2023-05-01 11:50:00,0.1,8.2,8.3,134.3,,16.0,,,23.6,,,,,0.16,83324.96076116516
2023-05-01 11:55:00,0.6,10.2,11.1,136.2,,16.0,,,23.6,,,,,0.16,
2023-05-01 12:00:00,0.0,9.3,9.3,137.7,,16.0,,,23.6,,,,,0.16,inf
2023-05-01 12:05:00,0.0,7.8,7.8,138.4,,16.0,,,23.6,,,,,0.16,
2023-05-01 12:10:00,1.0,6.8,8.3,139.1,,16.0,,,23.6,,,,,0.16,7002.101049790107
2023-05-01 12:15:00,0.5,8.0,8.8,137.6,,16.0,,,23.6,,,,,0.16,
2023-05-01 12:20:00,0.3,9.4,9.9,135.1,,16.0,,,23.6,,,,,0.16,32558.78919510246
2023-05-01 12:25:00,0.9,14.1,15.5,131.5,,16.0,,,23.6,,,,,0.16,
2023-05-01 12:30:00,0.0,12.0,12.0,132.2,,16.0,,,23.6,,,,,0.16,inf
2023-05-01 12:35:00,0.1,12.9,13.0,126.8,,16.0,,,23.6,,,,,0.22,
2023-05-01 12:40:00,0.0,8.7,8.8,126.5,,24.0,,,23.5,,,,,0.22,inf
2023-05-01 12:45:00,0.0,9.1,9.1,128.1,,24.0,,,23.4,,,,,0.22,
2023-05-01 12:50:00,0.3,13.9,14.5,123.8,,24.0,,,23.4,,,,,0.13,48404.664717087784
2023-05-01 12:55:00,0.0,7.0,7.0,125.8,,24.0,,,23.4,,,,,0.13,
2023-05-01 13:00:00,0.2,10.9,11.2,128.3,,24.0,,,23.4,,,,,0.13,57220.81988034495
2023-05-01 13:05:00,0.3,9.2,9.7,128.5,,24.0,,,23.4,,,,,0.13,
2023-05-01 13:10:00,0.3,4.3,4.7,127.4,,24.0,,,23.4,,,,,0.13,14959.145766713678
2023-05-01 13:15:00,0.0,1.3,1.3,129.0,,24.0,,,23.4,,,,,0.13,
2023-05-01 13:20:00,0.0,2.3,2.3,127.6,,24.0,,,23.4,,,,,0.1,inf
2023-05-01 13:25:00,0.0,6.5,6.5,124.9,,24.0,,,23.4,,,,,0.1,
2023-05-01 13:30:00,1.0,6.4,7.9,129.2,,24.0,,,23.4,,,,,0.1,6625.99706816594
2023-05-01 13:35:00,0.0,5.0,5.0,128.4,,24.0,,,23.4,,,,,0.1,
2023-05-01 13:40:00,0.0,3.1,3.1,128.6,,16.0,,,23.4,,,,,0.1,inf
2023-05-01 13:45:00,0.0,3.9,3.9,130.8,,16.0,,,23.4,,,,,0.1,
2023-05-01 13:50:00,0.0,5.1,5.1,131.4,,16.0,,,23.4,,,,,0.1,inf
2023-05-01 13:55:00,0.0,6.0,6.0,131.6,,16.0,,,23.4,,,,,0.1,
2023-05-01 14:00:00,0.0,3.1,3.1,130.5,,16.0,,,23.4,,,,,0.1,inf
2023-05-01 14:05:00,0.0,5.7,5.7,130.0,,16.0,,,23.4,,,,,0.1,
2023-05-01 14:10:00,0.4,4.8,5.4,126.2,,16.0,,,23.4,,,,,0.1,11772.49983129281
2023-05-01 14:15:00,1.4,7.4,9.5,127.8,,16.0,,,23.4,,,,,0.1,
2023-05-01 14:20:00,0.2,2.5,2.8,130.9,,16.0,,,23.4,,,,,0.1,12080.37992439843
2023-05-01 14:25:00,0.3,3.2,3.7,129.7,,16.0,,,23.4,,,,,0.1,
2023-05-01 14:30:00,0.2,5.5,5.8,128.3,,16.0,,,23.4,,,,,0.1,26002.822100767768
2023-05-01 14:35:00,0.0,5.6,5.7,130.4,,16.0,,,23.4,,,,,0.06,
2023-05-01 14:40:00,0.0,4.4,4.4,128.0,,21.0,,,23.1,,,,,0.06,inf
2023-05-01 14:45:00,0.0,3.6,3.6,125.4,,21.0,,,22.7,,,,,0.06,
2023-05-01 14:50:00,0.0,5.3,5.3,125.9,,21.0,,,22.7,,,,,0.1,inf
2023-05-01 14:55:00,0.0,3.3,3.3,128.1,,21.0,,,22.7,,,,,0.1,
2023-05-01 15:00:00,0.0,2.1,2.1,128.0,,21.0,,,22.7,,,,,0.1,inf
2023-05-01 15:05:00,0.1,1.2,1.3,128.0,,21.0,,,22.7,,,,,0.06,
2023-05-01 15:10:00,0.0,3.4,3.4,128.0,,21.0,,,22.7,,,,,0.06,inf
