0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,0.5,13.4,14.2,53.1,,,,3.3,,,,,,,
2023-05-01 00:10:00,0.5,13.2,14.0,53.6,,,,4.0,,,,,,,
2023-05-01 00:15:00,0.6,13.1,14.0,55.9,,,,3.3,,,,,,,
2023-05-01 00:20:00,0.6,13.2,14.0,56.6,,,,3.0,,,,,,,
2023-05-01 00:25:00,0.5,13.5,14.3,57.2,,,,3.5,,,,,,,
2023-05-01 00:30:00,0.6,13.3,14.1,55.1,,,,3.6,,,,,,,
2023-05-01 00:35:00,,,,,,,,,,,,,,,
2023-05-01 00:40:00,,,,,,,,,,,,,,,
2023-05-01 00:45:00,,,,,,,,,,,,,,,
2023-05-01 00:50:00,,,,,,,,,,,,,,,
2023-05-01 00:55:00,,,,,,,,,,,,,,,
2023-05-01 01:00:00,,,,,,,,,,,,,,,
2023-05-01 01:05:00,,,,,,,,,,,,,,,
2023-05-01 01:10:00,,,,,,,,,,,,,,,
2023-05-01 01:15:00,,,,,,,,,,,,,,,
2023-05-01 01:20:00,,9.3,,,,,,,,,,,,,
2023-05-01 01:25:00,0.5,11.8,12.6,50.7,,,,4.0,,,,,,,
2023-05-01 01:30:00,0.5,12.3,13.1,49.4,,,,3.4,,,,,,,
2023-05-01 01:35:00,0.5,12.3,13.1,47.0,,,,3.4,,,,,,,
2023-05-01 01:40:00,0.6,11.1,12.0,45.3,,,,3.4,,,,,,,
2023-05-01 01:45:00,0.5,10.2,10.9,39.3,,,,3.4,,,,,,,
2023-05-01 01:50:00,0.5,11.3,12.0,42.7,,,,3.4,,,,,,,
2023-05-01 01:55:00,0.5,12.4,13.1,44.9,,,,3.3,,,,,,,
2023-05-01 02:00:00,0.5,11.8,12.6,47.4,,,,4.0,,,,,,,
2023-05-01 02:05:00,0.4,11.4,12.1,46.4,,,,3.5,,,,,,,
2023-05-01 02:10:00,0.5,11.1,11.9,46.1,,,,3.6,,,,,,,
2023-05-01 02:15:00,0.5,11.2,12.0,45.1,,,,3.8,,,,,,,
2023-05-01 02:20:00,0.5,11.0,11.8,46.7,,,,3.8,,,,,,,
2023-05-01 02:25:00,0.6,11.3,12.2,46.5,,,,4.0,,,,,,,
2023-05-01 02:30:00,0.6,11.1,12.0,45.5,,,,3.7,,,,,,,
2023-05-01 02:35:00,0.6,12.3,13.3,39.0,,,,4.1,,,,,,,
2023-05-01 02:40:00,0.5,10.2,11.0,41.5,,,,3.4,,,,,,,
2023-05-01 02:45:00,0.5,10.5,11.3,42.9,,,,4.2,,,,,,,
2023-05-01 02:50:00,0.6,10.9,11.7,41.2,,,,3.3,,,,,,,
2023-05-01 02:55:00,0.6,12.3,13.1,40.8,,,,3.8,,,,,,,
2023-05-01 03:00:00,0.9,13.5,14.8,40.6,,,,3.3,,,,,,,
2023-05-01 03:05:00,1.6,14.2,16.6,40.7,,,,3.7,,,,,,,
2023-05-01 03:10:00,0.8,14.9,16.1,40.6,,,,3.4,,,,,,,
2023-05-01 03:15:00,0.6,13.4,14.3,38.9,,,,3.4,,,,,,,
2023-05-01 03:20:00,0.5,13.1,13.9,39.5,,,,3.2,,,,,,,
2023-05-01 03:25:00,0.5,13.1,13.8,42.6,,,,3.2,,,,,,,
2023-05-01 03:30:00,1.4,14.1,16.2,39.9,,,,3.2,,,,,,,
2023-05-01 03:35:00,0.7,14.0,15.1,39.1,,,,3.9,,,,,,,
2023-05-01 03:40:00,0.7,13.6,14.6,40.5,,,,3.4,,,,,,,
2023-05-01 03:45:00,6.5,21.6,31.6,37.5,,,,3.7,,,,,,,
2023-05-01 03:50:00,0.6,14.2,15.1,37.8,,,,3.5,,,,,,,
2023-05-01 03:55:00,0.5,13.1,13.9,42.9,,,,3.6,,,,,,,
2023-05-01 04:00:00,0.5,12.2,13.0,45.4,,,,3.5,,,,,,,
2023-05-01 04:05:00,0.7,12.5,13.5,47.8,,,,3.4,,,,,,,
2023-05-01 04:10:00,0.6,12.2,13.1,47.3,,,,3.6,,,,,,,
2023-05-01 04:15:00,0.5,12.0,12.8,47.1,,,,3.5,,,,,,,
2023-05-01 04:20:00,0.5,11.8,12.6,47.0,,,,4.3,,,,,,,
2023-05-01 04:25:00,0.5,11.5,12.4,46.1,,,,3.8,,,,,,,
2023-05-01 04:30:00,0.6,11.1,12.1,44.3,,,,3.7,,,,,,,
2023-05-01 04:35:00,0.5,11.3,12.1,44.6,,,,3.2,,,,,,,
2023-05-01 04:40:00,0.6,11.6,12.5,43.4,,,,3.5,,,,,,,
2023-05-01 04:45:00,1.9,14.4,17.3,38.2,,,,3.1,,,,,,,
2023-05-01 04:50:00,2.3,13.1,16.6,34.8,,,,3.3,,,,,,,
2023-05-01 04:55:00,0.7,16.3,17.4,33.9,,,,3.3,,,,,,,
2023-05-01 05:00:00,14.1,29.9,51.4,24.9,,,,3.2,,,,,,,
2023-05-01 05:05:00,5.0,28.5,36.3,23.9,,,,3.1,,,,,,,
2023-05-01 05:10:00,1.5,25.4,27.8,28.5,,,,3.2,,,,,,,
2023-05-01 05:15:00,11.5,27.4,44.9,32.2,,,,3.6,,,,,,,
2023-05-01 05:20:00,7.0,36.8,47.4,20.6,,,,3.4,,,,,,,
2023-05-01 05:25:00,2.3,25.1,28.6,30.0,,,,3.1,,,,,,,
2023-05-01 05:30:00,1.1,17.8,19.5,37.0,,,,3.9,,,,,,,
2023-05-01 05:35:00,1.7,18.8,21.3,38.7,,,,4.4,,,,,,,
2023-05-01 05:40:00,8.6,28.4,41.6,32.7,,,,3.9,,,,,,,
2023-05-01 05:45:00,5.9,21.4,30.5,41.7,,,,4.1,,,,,,,
2023-05-01 05:50:00,1.7,16.0,18.5,46.7,,,,3.6,,,,,,,
2023-05-01 05:55:00,2.2,19.5,22.9,44.3,,,,3.7,,,,,,,
2023-05-01 06:00:00,2.0,18.1,21.2,49.1,,,,3.7,,,,,,,
2023-05-01 06:05:00,3.2,17.0,21.9,53.6,,,,3.6,,,,,,,
2023-05-01 06:10:00,2.3,15.7,19.2,54.6,,,,3.6,,,,,,,
2023-05-01 06:15:00,2.8,18.0,22.2,51.1,,,,4.0,,,,,,,
2023-05-01 06:20:00,5.8,24.6,33.4,44.7,,,,3.2,,,,,,,
2023-05-01 06:25:00,4.1,18.7,25.0,50.4,,,,3.8,,,,,,,
2023-05-01 06:30:00,3.9,20.7,26.6,49.0,,,,3.3,,,,,,,
2023-05-01 06:35:00,4.5,22.4,29.3,48.1,,,,3.8,,,,,,,
2023-05-01 06:40:00,5.6,24.1,32.7,46.7,,,,3.7,,,,,,,
2023-05-01 06:45:00,6.0,26.2,35.4,49.2,,,,3.7,,,,,,,
2023-05-01 06:50:00,5.2,25.6,33.6,48.5,,,,3.6,,,,,,,
2023-05-01 06:55:00,4.2,20.7,27.2,54.7,,,,4.1,,,,,,,
2023-05-01 07:00:00,3.8,20.2,26.1,59.5,,,,3.9,,,,,,,
2023-05-01 07:05:00,5.0,23.4,31.1,55.7,,,,3.8,,,,,,,
2023-05-01 07:10:00,6.0,24.9,34.1,57.5,,,,3.8,,,,,,,
2023-05-01 07:15:00,10.5,29.2,45.3,58.9,,,,3.4,,,,,,,
2023-05-01 07:20:00,3.9,19.2,25.1,62.0,,,,3.8,,,,,,,
2023-05-01 07:25:00,4.3,18.4,25.0,64.2,,,,3.7,,,,,,,
2023-05-01 07:30:00,3.6,17.8,23.3,65.2,,,,3.8,,,,,,,
2023-05-01 07:35:00,3.3,17.3,22.4,71.1,,,,3.4,,,,,,,
2023-05-01 07:40:00,2.9,17.1,21.6,74.4,,,,3.5,,,,,,,
2023-05-01 07:45:00,2.5,13.9,17.7,82.2,,,,3.4,,,,,,,
2023-05-01 07:50:00,2.2,13.6,17.0,83.2,,,,3.6,,,,,,,
2023-05-01 07:55:00,2.0,12.0,15.1,88.9,,,,3.8,,,,,,,
2023-05-01 08:00:00,2.1,12.3,15.6,89.1,,,,3.4,,,,,,,
2023-05-01 08:05:00,2.1,10.8,14.1,94.5,,,,3.7,,,,,,,
2023-05-01 08:10:00,0.9,5.4,6.9,104.4,,,,3.5,,,,,,,
2023-05-01 08:15:00,1.0,5.5,7.1,104.4,,,,3.6,,,,,,,
2023-05-01 08:20:00,0.8,4.1,5.3,105.4,,,,2.8,,,,,,,
2023-05-01 08:25:00,0.7,3.4,4.4,105.6,,,,3.4,,,,,,,
2023-05-01 08:30:00,0.7,3.4,4.5,104.3,,,,3.6,,,,,,,
2023-05-01 08:35:00,0.7,3.3,4.3,105.4,,,,3.5,,,,,,,
2023-05-01 08:40:00,0.7,3.8,4.9,102.5,,,,3.8,,,,,,,
2023-05-01 08:45:00,0.7,3.3,4.4,102.8,,,,4.0,,,,,,,
2023-05-01 08:50:00,1.2,5.4,7.3,104.1,,,,3.3,,,,,,,
2023-05-01 08:55:00,0.8,3.9,5.2,105.4,,,,3.3,,,,,,,
2023-05-01 09:00:00,1.2,3.7,5.5,106.5,,,,3.2,,,,,,,
2023-05-01 09:05:00,0.9,4.0,5.3,103.4,,,,3.1,,,,,,,
2023-05-01 09:10:00,0.7,3.2,4.2,103.9,,,,3.9,,,,,,,
2023-05-01 09:15:00,0.7,3.7,4.7,105.9,,,,3.2,,,,,,,
2023-05-01 09:20:00,0.8,3.5,4.7,105.5,,,,3.4,,,,,,,
2023-05-01 09:25:00,1.1,4.8,6.4,104.4,,,,4.1,,,,,,,
2023-05-01 09:30:00,0.9,4.2,5.6,106.1,,,,3.1,,,,,,,
2023-05-01 09:35:00,0.8,3.6,4.8,107.1,,,,2.9,,,,,,,
2023-05-01 09:40:00,0.8,3.7,4.9,106.1,,,,4.0,,,,,,,
2023-05-01 09:45:00,0.8,4.4,5.6,104.8,,,,3.7,,,,,,,
2023-05-01 09:50:00,0.7,4.2,5.2,106.3,,,,3.5,,,,,,,
2023-05-01 09:55:00,1.1,6.5,8.2,106.0,,,,3.4,,,,,,,
2023-05-01 10:00:00,3.2,19.9,24.8,92.3,,,,3.6,,,,,,,
2023-05-01 10:05:00,3.1,17.3,22.1,96.0,,,,3.7,,,,,,,
2023-05-01 10:10:00,2.6,15.5,19.4,100.5,,,,3.5,,,,,,,
2023-05-01 10:15:00,3.2,17.8,22.8,97.8,,,,3.7,,,,,,,
2023-05-01 10:20:00,3.6,19.7,25.1,97.7,,,,3.9,,,,,,,
2023-05-01 10:25:00,4.0,21.0,27.1,92.9,,,,4.0,,,,,,,
2023-05-01 10:30:00,4.8,24.6,32.0,89.3,,,,3.9,,,,,,,
2023-05-01 10:35:00,3.7,19.3,25.0,95.5,,,,4.4,,,,,,,
2023-05-01 10:40:00,3.1,17.0,21.7,98.1,,,,3.9,,,,,,,
2023-05-01 10:45:00,2.9,16.1,20.6,99.6,,,,4.1,,,,,,,
2023-05-01 10:50:00,2.7,15.3,19.5,101.0,,,,3.8,,,,,,,
2023-05-01 10:55:00,2.8,15.8,20.1,100.8,,,,4.2,,,,,,,
2023-05-01 11:00:00,2.6,15.4,19.4,99.8,,,,4.6,,,,,,,
2023-05-01 11:05:00,3.0,16.9,21.5,99.4,,,,4.3,,,,,,,
2023-05-01 11:10:00,3.1,17.6,22.4,98.0,,,,4.0,,,,,,,
2023-05-01 11:15:00,2.8,15.1,19.5,98.5,,,,3.9,,,,,,,
2023-05-01 11:20:00,3.2,16.1,21.0,94.4,,,,3.4,,,,,,,
2023-05-01 11:25:00,3.2,16.7,21.7,94.8,,,,3.8,,,,,,,
2023-05-01 11:30:00,2.7,14.5,18.6,96.2,,,,3.7,,,,,,,
2023-05-01 11:35:00,2.9,13.6,18.1,94.8,,,,4.0,,,,,,,
2023-05-01 11:40:00,2.8,14.0,18.3,93.2,,,,3.9,,,,,,,
2023-05-01 11:45:00,2.6,13.0,16.9,94.8,,,,3.9,,,,,,,
2023-05-01 11:50:00,2.4,12.2,15.8,96.4,,,,3.7,,,,,,,
2023-05-01 11:55:00,2.2,11.8,15.1,99.3,,,,4.0,,,,,,,
2023-05-01 12:00:00,2.2,12.2,15.5,97.3,,,,4.2,,,,,,,
2023-05-01 12:05:00,2.5,13.4,17.3,95.5,,,,4.1,,,,,,,
2023-05-01 12:10:00,2.3,11.8,15.2,100.0,,,,4.3,,,,,,,
