0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,1.6,6.8,9.1,,,,,2.9,13.4,160.0,2.8,,,0.1,
2023-05-01 00:10:00,1.5,6.9,9.2,,,,,2.5,13.3,159.0,3.0,,,0.1,0.0
2023-05-01 00:15:00,1.5,6.5,8.9,,,,,2.1,13.3,160.0,2.9,,,0.1,
2023-05-01 00:20:00,1.5,6.5,8.8,,,,,3.2,13.3,163.0,3.3,,,0.1,0.0
2023-05-01 00:25:00,1.4,6.1,8.3,,,,,2.8,13.3,162.0,3.0,,,0.1,
2023-05-01 00:30:00,1.5,5.7,8.1,,,,,2.7,13.2,166.0,3.3,,,0.1,0.0
2023-05-01 00:35:00,1.6,5.1,7.4,,,,,3.0,13.2,168.0,3.6,,,0.1,
2023-05-01 00:40:00,1.5,5.3,7.6,,,,,2.7,13.2,165.0,3.5,,,0.1,0.0
2023-05-01 00:45:00,1.5,5.1,7.4,,,,,3.2,13.1,166.0,3.5,,,0.1,
2023-05-01 00:50:00,,,,,,,,2.6,13.1,167.0,3.5,,,0.1,
2023-05-01 00:55:00,,,,,,,,2.5,13.0,163.0,3.3,,,0.1,
2023-05-01 01:00:00,,,,,,,,2.3,12.9,162.0,3.3,,,0.1,
2023-05-01 01:05:00,,,,,,,,3.6,12.9,162.0,3.5,,,0.1,
2023-05-01 01:10:00,,,,,,,,2.5,12.8,158.0,2.7,,,0.1,
2023-05-01 01:15:00,1.4,5.1,7.3,,,,,2.9,12.7,162.0,2.7,,,0.1,
2023-05-01 01:20:00,1.5,5.3,7.6,,,,,3.2,12.7,159.0,2.7,,,0.1,0.0
2023-05-01 01:25:00,1.4,5.2,7.4,,,,,3.1,12.7,159.0,2.9,,,0.1,
2023-05-01 01:30:00,1.6,4.6,7.1,,,,,3.2,12.7,160.0,2.8,,,0.1,0.0
2023-05-01 01:35:00,1.5,5.2,7.5,,,,,3.3,12.7,154.0,3.1,,,0.1,
2023-05-01 01:40:00,1.6,5.4,7.8,,,,,2.8,12.8,158.0,3.1,,,0.1,0.0
2023-05-01 01:45:00,1.5,5.2,7.5,,,,,2.9,12.8,162.0,2.8,,,0.1,
2023-05-01 01:50:00,1.5,5.0,7.4,,,,,,12.8,167.0,1.9,,,0.1,0.0
2023-05-01 01:55:00,1.5,4.7,7.1,,,,,,12.7,174.0,1.4,,,0.13,
2023-05-01 02:00:00,1.5,4.9,7.2,,,,,,12.6,179.0,1.3,,,0.13,0.0
2023-05-01 02:05:00,1.7,4.7,7.3,,,,,,12.6,164.0,2.5,,,0.13,
2023-05-01 02:10:00,1.6,5.1,7.6,,,,,,12.5,159.0,3.2,,,0.1,0.0
2023-05-01 02:15:00,1.5,5.3,7.5,,,,,,12.6,164.0,3.7,,,0.1,
2023-05-01 02:20:00,1.5,5.8,8.1,,,,,3.0,12.5,160.0,3.3,,,0.1,0.0
2023-05-01 02:25:00,1.4,6.0,8.2,,,,,3.4,12.4,159.0,3.1,,,0.13,
2023-05-01 02:30:00,1.4,6.5,8.7,,,,,3.7,12.4,159.0,3.3,,,0.13,0.0
2023-05-01 02:35:00,1.4,5.8,8.0,,,,,3.0,12.3,157.0,3.0,,,0.13,
2023-05-01 02:40:00,1.5,6.3,8.6,,,,,2.5,12.3,158.0,2.8,,,0.19,0.0
2023-05-01 02:45:00,1.5,7.3,9.6,,,,,2.7,12.3,159.0,3.0,,,0.19,
2023-05-01 02:50:00,1.4,7.5,9.6,,,,,3.4,12.3,157.0,3.3,,,0.19,0.0
2023-05-01 02:55:00,1.5,7.0,9.2,,,,,3.6,12.3,160.0,3.4,,,0.19,
2023-05-01 03:00:00,1.5,7.5,9.7,,,,,3.1,12.3,158.0,3.6,,,0.19,0.0
2023-05-01 03:05:00,1.5,8.0,10.3,,,,,3.4,12.3,158.0,3.6,,,0.19,
2023-05-01 03:10:00,1.5,6.6,9.0,,,,,3.5,12.3,159.0,3.9,,,0.19,0.0
2023-05-01 03:15:00,1.5,6.2,8.5,,,,,3.3,12.2,160.0,3.7,,,0.19,
2023-05-01 03:20:00,1.5,6.1,8.5,,,,,3.5,12.2,158.0,3.5,,,0.19,0.0
2023-05-01 03:25:00,1.6,6.0,8.4,,,,,3.0,12.1,161.0,3.5,,,0.19,
2023-05-01 03:30:00,1.6,5.7,8.2,,,,,3.5,12.1,159.0,3.5,,,0.19,0.0
2023-05-01 03:35:00,1.5,6.3,8.5,,,,,3.4,12.1,161.0,3.2,,,0.19,
2023-05-01 03:40:00,1.4,6.6,8.7,,,,,3.4,12.1,164.0,3.9,,,0.22,0.0
2023-05-01 03:45:00,1.5,6.4,8.7,,,,,3.2,12.1,166.0,4.1,,,0.22,
2023-05-01 03:50:00,1.7,7.5,10.1,,,,,3.5,12.1,166.0,4.4,,,0.22,0.0
2023-05-01 03:55:00,1.5,7.3,9.6,,,,,3.7,12.1,166.0,4.1,,,0.19,
2023-05-01 04:00:00,1.5,6.4,8.8,,,,,3.3,12.0,166.0,4.0,,,0.19,0.0
2023-05-01 04:05:00,1.6,6.1,8.5,,,,,3.7,12.0,166.0,4.1,,,0.19,
2023-05-01 04:10:00,1.6,6.5,8.9,,,,,3.4,12.0,164.0,3.7,,,0.19,0.0
2023-05-01 04:15:00,1.5,7.0,9.3,,,,,3.0,12.0,165.0,3.8,,,0.19,
2023-05-01 04:20:00,1.6,7.2,9.7,,,,,2.9,12.0,165.0,3.7,,,0.19,0.0
