0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,1.6,26.0,28.4,,,6.9,58.0,,17.4,,,,,,
2023-05-01 00:10:00,1.6,31.2,33.7,,,7.1,60.0,,17.3,,,,,,0.0
2023-05-01 00:15:00,1.6,27.4,29.8,,,7.6,61.0,,17.1,,,,,,
2023-05-01 00:20:00,1.7,30.3,32.8,,,8.0,63.0,,16.9,,,,,,0.0
2023-05-01 00:25:00,1.6,36.1,38.5,,,8.2,63.0,,16.7,,,,,,
2023-05-01 00:30:00,1.6,42.5,44.9,,,8.5,64.0,,16.6,,,,,,0.0
2023-05-01 00:35:00,1.7,45.0,47.5,,,9.1,64.0,,16.6,,,,,,
2023-05-01 00:40:00,1.7,42.2,44.8,,,9.4,65.0,,16.4,,,,,,0.0
2023-05-01 00:45:00,1.6,34.1,36.6,,,9.8,65.0,,16.4,,,,,,
2023-05-01 00:50:00,1.6,27.7,30.2,,,10.0,66.0,,16.3,,,,,,0.0
2023-05-01 00:55:00,1.6,23.0,25.5,,,10.4,66.0,,16.3,,,,,,
2023-05-01 01:00:00,1.6,22.0,24.5,,,10.3,66.0,,16.2,,,,,,0.0
2023-05-01 01:05:00,1.6,21.1,23.6,,,10.2,66.0,,16.2,,,,,,
2023-05-01 01:10:00,1.6,17.5,20.0,,,10.4,66.0,,16.2,,,,,,0.0
2023-05-01 01:15:00,1.7,16.2,18.8,,,10.7,66.0,,16.2,,,,,,
2023-05-01 01:20:00,1.7,15.5,18.1,,,10.5,66.0,,16.2,,,,,,0.0
2023-05-01 01:25:00,1.6,13.7,16.1,,,10.6,66.0,,16.2,,,,,,
2023-05-01 01:30:00,1.6,11.9,14.4,,,10.8,66.0,,16.1,,,,,,0.0
2023-05-01 01:35:00,1.7,12.7,15.2,,,10.4,66.0,,16.1,,,,,,
2023-05-01 01:40:00,1.6,13.1,15.6,,,10.4,66.0,,16.1,,,,,,0.0
2023-05-01 01:45:00,1.6,12.6,15.1,,,10.3,66.0,,16.1,,,,,,
2023-05-01 01:50:00,1.7,12.2,14.8,,,10.3,67.0,,16.1,,,,,,0.0
2023-05-01 01:55:00,1.7,11.7,14.3,,,10.0,67.0,,16.1,,,,,,
2023-05-01 02:00:00,1.7,11.4,14.0,,,9.6,67.0,,16.0,,,,,,0.0
2023-05-01 02:05:00,1.6,11.2,13.7,,,9.8,67.0,,16.0,,,,,,
2023-05-01 02:10:00,1.6,10.9,13.4,,,9.8,67.0,,15.9,,,,,,0.0
2023-05-01 02:15:00,1.6,10.2,12.6,,,9.6,67.0,,15.9,,,,,,
2023-05-01 02:20:00,1.7,10.2,12.8,,,9.9,67.0,,15.8,,,,,,0.0
2023-05-01 02:25:00,1.6,10.4,12.9,,,10.4,68.0,,15.8,,,,,,
2023-05-01 02:30:00,1.6,10.3,12.8,,,10.1,68.0,,15.7,,,,,,0.0
2023-05-01 02:35:00,1.6,10.3,12.7,,,9.9,68.0,,15.6,,,,,,
2023-05-01 02:40:00,1.6,9.9,12.4,,,10.0,68.0,,15.6,,,,,,0.0
2023-05-01 02:45:00,1.7,10.1,12.7,,,10.1,69.0,,15.6,,,,,,
2023-05-01 02:50:00,,,,,,10.6,69.0,,15.6,,,,,,
2023-05-01 02:55:00,,,,,,10.8,69.0,,15.5,,,,,,
2023-05-01 03:00:00,,,,,,10.7,69.0,,15.4,,,,,,
2023-05-01 03:05:00,,,,,,10.6,70.0,,15.4,,,,,,
2023-05-01 03:10:00,,,,,,10.1,70.0,,15.4,,,,,,
2023-05-01 03:15:00,,,,,,9.8,70.0,,15.4,,,,,,
2023-05-01 03:20:00,1.7,9.4,12.1,,,9.8,70.0,,15.3,,,,,,0.0
2023-05-01 03:25:00,1.6,10.9,13.3,,,9.7,70.0,,15.3,,,,,,
2023-05-01 03:30:00,1.6,10.6,13.0,,,10.1,70.0,,15.2,,,,,,0.0
2023-05-01 03:35:00,1.6,10.4,12.9,,,10.3,70.0,,15.2,,,,,,
2023-05-01 03:40:00,1.6,10.5,13.0,,,10.2,71.0,,15.2,,,,,,0.0
2023-05-01 03:45:00,1.6,10.5,13.0,,,10.0,71.0,,15.2,,,,,,
2023-05-01 03:50:00,1.6,10.1,12.5,,,10.1,71.0,,15.2,,,,,,0.0
2023-05-01 03:55:00,1.6,9.0,11.5,,,10.2,71.0,,15.2,,,,,,
2023-05-01 04:00:00,1.7,8.5,11.1,,,10.8,70.0,,15.2,,,,,,0.0
2023-05-01 04:05:00,1.6,8.3,10.8,,,11.1,70.0,,15.1,,,,,,
2023-05-01 04:10:00,1.6,9.5,11.9,,,11.1,71.0,,15.1,,,,,,0.0
2023-05-01 04:15:00,1.7,10.9,13.4,,,10.9,71.0,,15.1,,,,,,
2023-05-01 04:20:00,1.7,11.7,14.3,,,10.6,71.0,,15.1,,,,,,0.0
2023-05-01 04:25:00,1.7,13.3,15.8,,,10.4,71.0,,15.0,,,,,,
