0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,0.0,35.9,35.9,,63.0,16.0,,,9.8,57.0,0.5,,,,
2023-05-01 00:10:00,0.0,33.5,33.5,,63.0,14.0,,,9.8,359.0,0.2,,,,
2023-05-01 00:15:00,0.0,33.2,33.2,,63.0,14.0,,,9.8,336.0,0.4,,,,
2023-05-01 00:20:00,0.0,31.4,31.4,,63.0,14.0,,,9.8,329.0,0.3,,,,
2023-05-01 00:25:00,0.0,28.7,28.7,,63.0,14.0,,,9.8,57.0,0.1,,,,
2023-05-01 00:30:00,0.0,25.5,25.5,,63.0,14.0,,,9.8,135.0,0.1,,,,
2023-05-01 00:35:00,0.0,23.7,23.7,,63.0,14.0,,,9.9,60.0,0.2,,,,
2023-05-01 00:40:00,4.6,18.1,25.2,,63.0,14.0,,,9.8,16.0,0.2,,,,0.0
2023-05-01 00:45:00,3.6,41.1,46.6,,63.0,14.0,,,9.7,331.0,0.4,,,,
2023-05-01 00:50:00,0.1,29.3,29.4,,63.0,14.0,,,9.6,324.0,0.3,,,,0.0
2023-05-01 00:55:00,0.0,28.2,28.2,,63.0,14.0,,,9.6,267.0,0.8,,,,
2023-05-01 01:00:00,0.0,25.0,25.0,,63.0,14.0,,,9.6,75.0,0.1,,,,
2023-05-01 01:05:00,0.0,22.2,22.2,,83.0,18.0,,,9.5,11.0,0.3,,,,
2023-05-01 01:10:00,0.0,22.4,22.4,,83.0,20.0,,,9.3,42.0,0.6,,,,
2023-05-01 01:15:00,0.0,22.3,22.3,,83.0,20.0,,,9.2,33.0,0.8,,,,
2023-05-01 01:20:00,0.0,21.8,21.8,,83.0,20.0,,,9.1,37.0,0.5,,,,
2023-05-01 01:25:00,0.0,21.4,21.4,,83.0,20.0,,,9.0,33.0,0.7,,,,
2023-05-01 01:30:00,0.0,21.5,21.5,,83.0,20.0,,,9.0,41.0,0.5,,,,
2023-05-01 01:35:00,0.0,21.0,21.0,,83.0,20.0,,,9.0,32.0,0.8,,,,
2023-05-01 01:40:00,0.0,23.9,23.9,,83.0,20.0,,,9.0,10.0,0.5,,,,
2023-05-01 01:45:00,0.0,31.9,31.9,,83.0,20.0,,,9.0,353.0,0.7,,,,
2023-05-01 01:50:00,0.0,30.6,30.6,,83.0,20.0,,,8.8,5.0,0.5,,,,
2023-05-01 01:55:00,0.0,28.9,28.9,,83.0,20.0,,,8.8,30.0,0.4,,,,
2023-05-01 02:00:00,0.0,27.0,27.0,,83.0,20.0,,,8.7,44.0,0.5,,,,
2023-05-01 02:05:00,0.0,26.1,26.1,,90.0,17.3,,,8.7,8.0,0.5,,,,
2023-05-01 02:10:00,0.0,24.6,24.6,,90.0,16.0,,,8.7,18.0,0.3,,,,
