0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,0.7,10.2,11.3,,21.0,8.0,89.0,,10.1,242.0,,,,,
2023-05-01 00:10:00,0.8,11.3,12.4,,21.0,8.0,89.0,,10.1,247.0,,,,,0.0
2023-05-01 00:15:00,0.7,11.4,12.5,,21.0,8.0,90.0,,10.1,262.0,,,,,
2023-05-01 00:20:00,0.8,10.6,11.8,,21.0,5.9,90.0,,10.1,255.0,,,,,0.0
2023-05-01 00:25:00,0.8,9.9,11.2,,21.0,0.0,90.0,,10.0,263.0,,,,,
2023-05-01 00:30:00,0.8,11.9,13.1,,21.0,0.0,90.0,,10.1,269.0,,,,,0.0
2023-05-01 00:35:00,0.8,12.5,13.6,,21.0,0.0,91.0,,10.0,285.0,,,,,
2023-05-01 00:40:00,0.7,12.3,13.4,,21.0,0.0,91.0,,9.9,251.0,,,,,0.0
2023-05-01 00:45:00,0.8,10.6,11.7,,21.0,0.0,92.0,,9.9,268.0,,,,,
2023-05-01 00:50:00,0.8,9.9,11.1,,21.0,1.3,92.0,,9.8,262.0,,,,,0.0
2023-05-01 00:55:00,0.8,11.5,12.8,,22.1,5.0,92.0,,9.8,275.0,,,,,
2023-05-01 01:00:00,0.8,10.1,11.3,,23.0,5.0,92.0,,9.8,292.0,,,,,0.0
2023-05-01 01:05:00,0.8,10.7,11.9,,23.0,5.0,93.0,,9.8,288.0,,,,,
2023-05-01 01:10:00,0.8,10.7,11.8,,23.0,5.0,93.0,,9.8,279.0,,,,,0.0
2023-05-01 01:15:00,0.8,10.9,12.1,,23.0,5.0,93.0,,9.7,275.0,,,,,
2023-05-01 01:20:00,0.8,10.7,11.9,,23.0,4.7,93.0,,9.7,278.0,,,,,0.0
2023-05-01 01:25:00,0.7,10.5,11.6,,23.0,4.0,93.0,,9.7,282.0,,,,,
2023-05-01 01:30:00,0.8,10.8,12.0,,23.0,4.0,93.0,,9.6,295.0,,,,,0.0
2023-05-01 01:35:00,0.8,11.1,12.2,,23.0,4.0,93.0,,9.5,285.0,,,,,
2023-05-01 01:40:00,0.8,10.4,11.7,,23.0,4.0,93.0,,9.4,292.0,,,,,0.0
2023-05-01 01:45:00,0.8,10.1,11.3,,23.0,4.0,94.0,,9.4,301.0,,,,,
2023-05-01 01:50:00,0.7,9.0,10.1,,23.0,4.3,94.0,,9.4,286.0,,,,,0.0
2023-05-01 01:55:00,0.8,7.7,9.0,,18.2,5.0,94.0,,9.4,297.0,,,,,
2023-05-01 02:00:00,0.8,8.4,9.6,,14.0,5.0,94.0,,9.5,298.0,,,,,0.0
2023-05-01 02:05:00,0.7,7.5,8.6,,14.0,5.0,94.0,,9.5,299.0,,,,,
2023-05-01 02:10:00,0.8,6.6,7.8,,14.0,5.0,95.0,,9.4,300.0,,,,,0.0
