0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,16.9,82.2,108.0,2.4,,19.0,,,18.4,,,,,1.1,
2023-05-01 00:10:00,8.9,52.7,66.4,11.9,,19.0,,,18.4,,,,,0.22,0.0
2023-05-01 00:15:00,0.2,55.5,55.8,23.8,,19.0,,,18.4,,,,,0.22,
2023-05-01 00:20:00,,,,,,,,,,,,,,,
2023-05-01 00:25:00,0.0,0.0,0.0,43.3,,19.0,,,18.4,,,,,0.7,
2023-05-01 00:30:00,,,,,,,,,,,,,,,
2023-05-01 00:35:00,0.0,0.0,0.0,30.8,,22.0,,,17.7,,,,,0.63,
2023-05-01 00:40:00,0.0,0.0,0.0,28.4,,22.0,,,17.6,,,,,0.26,
2023-05-01 00:45:00,0.0,0.0,0.0,28.4,,22.0,,,17.6,,,,,0.26,
2023-05-01 00:50:00,0.1,46.5,46.7,29.2,,22.0,,,17.6,,,,,0.24,0.0
2023-05-01 00:55:00,0.1,44.4,44.6,35.1,,22.0,,,17.6,,,,,0.19,
2023-05-01 01:00:00,,,,,,,,,,,,,,,
2023-05-01 01:05:00,0.0,41.3,41.3,37.7,,22.0,,,17.6,,,,,0.18,
2023-05-01 01:10:00,,,,,,,,,,,,,,,
2023-05-01 01:15:00,0.0,0.0,0.0,44.7,,22.0,,,17.6,,,,,0.0,
2023-05-01 01:20:00,0.0,0.0,0.0,50.5,,22.0,,,17.6,,,,,0.0,
2023-05-01 01:25:00,0.0,0.0,0.0,58.3,,22.0,,,17.6,,,,,0.0,
2023-05-01 01:30:00,0.0,0.0,0.0,61.4,,22.0,,,17.6,,,,,0.0,
2023-05-01 01:35:00,,,,,,,,,,,,,,,
2023-05-01 01:40:00,,,,,,,,,,,,,,,
2023-05-01 01:45:00,,,,,,,,,,,,,,,
2023-05-01 01:50:00,0.0,0.0,0.0,62.8,,19.0,,,17.1,,,,,0.21,
2023-05-01 01:55:00,0.0,0.0,0.0,62.3,,19.0,,,17.1,,,,,0.13,
2023-05-01 02:00:00,0.0,0.0,0.0,55.0,,19.0,,,17.1,,,,,0.13,
2023-05-01 02:05:00,,,,,,,,,,,,,,,
2023-05-01 02:10:00,,,,,,,,,,,,,,,
2023-05-01 02:15:00,0.0,0.0,0.0,46.6,,19.0,,,17.1,,,,,0.13,
2023-05-01 02:20:00,0.0,0.0,0.0,43.6,,19.0,,,17.1,,,,,0.13,
2023-05-01 02:25:00,0.0,0.0,0.0,37.6,,19.0,,,17.1,,,,,0.19,
2023-05-01 02:30:00,0.0,0.0,0.0,35.2,,19.0,,,17.1,,,,,0.19,
2023-05-01 02:35:00,,,,,,,,,,,,,,,
2023-05-01 02:40:00,,,,,,,,,,,,,,,
2023-05-01 02:45:00,0.0,0.0,0.0,37.4,,19.0,,,17.3,,,,,0.32,
2023-05-01 02:50:00,0.0,0.0,0.0,38.8,,19.0,,,17.3,,,,,0.27,
