0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,,,,,41.7,15.88,,0.7,,,,,,,
2023-05-01 00:10:00,,,,,36.3,15.49,,0.7,,,,,,,
2023-05-01 00:15:00,,,,,32.2,15.11,,1.0,,,,,,,
2023-05-01 00:20:00,,,,,29.3,14.65,,1.2,,,,,,,
2023-05-01 00:25:00,,,,,27.1,14.2,,1.3,,,,,,,
2023-05-01 00:30:00,,,,,26.0,14.14,,1.8,,,,,,,
2023-05-01 00:35:00,,,,,25.0,13.65,,1.9,,,,,,,
2023-05-01 00:40:00,,,,,25.6,13.8,,2.0,,,,,,,
2023-05-01 00:45:00,,,,,27.3,14.42,,2.3,,,,,,,
2023-05-01 00:50:00,,,,,26.0,14.37,,2.7,,,,,,,
2023-05-01 00:55:00,,,,,27.5,14.36,,2.8,,,,,,,
2023-05-01 01:00:00,,,,,33.0,14.25,,3.3,,,,,,,
2023-05-01 01:05:00,0.2,15.7,16.0,,32.0,13.71,,2.4,,,,,,,
2023-05-01 01:10:00,0.2,19.6,19.9,,26.0,13.23,,,,,,,,,
2023-05-01 01:15:00,0.1,19.2,19.3,,24.3,13.25,,,,,,,,,
2023-05-01 01:20:00,0.0,18.7,18.7,,24.1,13.31,,,,,,,,,
2023-05-01 01:25:00,0.0,17.4,17.3,,26.6,13.83,,,,,,,,,
2023-05-01 01:30:00,0.0,16.1,16.0,,28.4,13.96,,,,,,,,,
2023-05-01 01:35:00,0.0,14.9,14.8,,26.6,13.84,,,,,,,,,
2023-05-01 01:40:00,0.0,15.7,15.6,,25.1,13.82,,,,,,,,,
2023-05-01 01:45:00,0.0,16.5,16.4,,24.8,13.72,,,,,,,,,
2023-05-01 01:50:00,0.0,16.9,16.7,,24.1,13.64,,,,,,,,,
2023-05-01 01:55:00,0.0,16.4,16.2,,23.9,13.66,,,,,,,,,
2023-05-01 02:00:00,0.0,16.1,16.1,,26.0,13.82,,,,,,,,,
2023-05-01 02:05:00,0.0,15.6,15.6,,28.2,13.87,,0.0,,,,,,,
2023-05-01 02:10:00,0.0,16.1,15.9,,29.7,13.68,,0.0,,,,,,,
