0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,,,,69.4,27.0,,73.0,1.4,14.5,,,,,,
2023-05-01 00:10:00,,,,71.3,27.0,,73.0,1.1,14.5,,,,,,
2023-05-01 00:15:00,,9.4,,70.6,27.0,,74.0,0.9,14.4,,,,,,
2023-05-01 00:20:00,1.6,10.7,13.2,71.2,21.8,,74.0,1.3,14.4,,,,,,0.0
2023-05-01 00:25:00,1.3,11.2,13.2,71.0,19.0,,74.0,0.9,14.4,,,,,,
2023-05-01 00:30:00,1.9,10.2,13.1,69.3,19.0,,75.0,1.0,14.4,,,,,,0.0
2023-05-01 00:35:00,0.7,11.3,12.4,71.0,19.0,,75.0,1.3,14.5,,,,,,
2023-05-01 00:40:00,0.9,11.4,12.8,70.5,19.0,,75.0,1.0,14.5,,,,,,0.0
2023-05-01 00:45:00,1.1,12.2,13.9,68.9,19.0,,75.0,1.4,14.5,,,,,,
2023-05-01 00:50:00,1.6,13.6,16.0,67.7,16.4,,75.0,1.2,14.4,,,,,,0.0
2023-05-01 00:55:00,2.1,14.5,17.7,64.7,15.0,,75.0,1.6,14.4,,,,,,
2023-05-01 01:00:00,2.1,14.7,17.9,65.6,15.0,,76.0,1.2,14.3,,,,,,0.0
2023-05-01 01:05:00,1.7,14.9,17.5,63.8,15.0,,76.0,1.2,14.3,,,,,,
2023-05-01 01:10:00,0.5,15.1,15.8,64.8,15.0,,76.0,1.4,14.3,,,,,,0.0
2023-05-01 01:15:00,1.1,13.8,15.5,64.9,15.0,,76.0,0.7,14.3,,,,,,
2023-05-01 01:20:00,1.6,13.7,16.2,64.1,18.9,,76.0,1.0,14.3,,,,,,0.0
2023-05-01 01:25:00,1.9,13.1,16.1,64.3,21.0,,76.0,1.0,14.3,,,,,,
2023-05-01 01:30:00,1.6,13.0,15.4,62.2,21.0,,76.0,1.1,14.3,,,,,,0.0
2023-05-01 01:35:00,1.4,13.6,15.7,62.7,21.0,,76.0,1.0,14.2,,,,,,
2023-05-01 01:40:00,1.2,13.5,15.5,62.4,21.0,,76.0,0.8,14.2,,,,,,0.0
2023-05-01 01:45:00,0.6,14.2,15.2,63.0,21.0,,76.0,1.3,14.2,,,,,,
2023-05-01 01:50:00,0.5,14.3,15.1,60.1,20.4,,76.0,,14.1,,,,,,0.0
2023-05-01 01:55:00,0.5,14.0,14.7,60.7,20.0,,77.0,,14.1,,,,,,
2023-05-01 02:00:00,0.6,14.4,15.3,60.6,20.0,,77.0,,14.1,,,,,,0.0
2023-05-01 02:05:00,1.1,13.6,15.2,64.2,20.0,,77.0,,14.1,,,,,,
2023-05-01 02:10:00,1.4,14.1,16.2,63.2,20.0,,77.0,,14.1,,,,,,0.0
2023-05-01 02:15:00,1.4,13.7,15.8,61.4,20.0,,77.0,,14.1,,,,,,
2023-05-01 02:20:00,2.1,13.5,16.8,61.1,23.9,,77.0,1.7,14.1,,,,,,0.0
2023-05-01 02:25:00,1.7,13.5,16.1,58.9,26.0,,77.0,1.6,14.0,,,,,,
2023-05-01 02:30:00,1.4,13.0,15.2,58.2,26.0,,77.0,0.8,14.0,,,,,,0.0
2023-05-01 02:35:00,0.8,13.9,15.1,60.2,26.0,,77.0,0.7,14.0,,,,,,
2023-05-01 02:40:00,1.1,13.5,15.2,61.2,26.0,,77.0,1.0,13.9,,,,,,0.0
2023-05-01 02:45:00,1.0,13.9,15.4,60.6,26.0,,77.0,0.5,13.8,,,,,,
2023-05-01 02:50:00,1.1,14.1,15.8,,22.8,,78.0,0.9,13.7,,,,,,0.0
2023-05-01 02:55:00,1.0,14.2,15.7,,21.0,,78.0,1.1,13.6,,,,,,
2023-05-01 03:00:00,1.2,13.5,15.4,,21.0,,78.0,1.4,13.6,,,,,,0.0
2023-05-01 03:05:00,1.0,14.1,15.6,,21.0,,78.0,1.2,13.6,,,,,,
2023-05-01 03:10:00,1.6,15.0,17.3,,21.0,,78.0,1.1,13.5,,,,,,0.0
2023-05-01 03:15:00,0.6,14.1,15.0,,21.0,,78.0,0.7,13.5,,,,,,
2023-05-01 03:20:00,0.5,13.9,14.7,61.4,23.0,,78.0,1.4,13.4,,,,,,0.0
2023-05-01 03:25:00,0.9,13.4,14.8,60.2,24.0,,78.0,0.9,13.4,,,,,,
2023-05-01 03:30:00,0.9,14.4,15.7,56.5,24.0,,78.0,0.9,13.4,,,,,,0.0
2023-05-01 03:35:00,1.8,14.2,17.0,55.3,24.0,,79.0,0.6,13.3,,,,,,
2023-05-01 03:40:00,1.8,13.6,16.3,53.8,24.0,,79.0,0.6,13.2,,,,,,0.0
2023-05-01 03:45:00,1.3,13.2,15.2,56.2,24.0,,79.0,0.8,13.1,,,,,,
2023-05-01 03:50:00,1.2,12.8,14.7,55.6,21.4,,79.0,0.9,13.1,,,,,,0.0
2023-05-01 03:55:00,1.8,12.2,14.9,58.5,20.0,,79.0,0.6,13.0,,,,,,
2023-05-01 04:00:00,1.2,11.4,13.2,58.5,20.0,,80.0,1.0,13.0,,,,,,0.0
2023-05-01 04:05:00,2.3,10.2,13.8,59.3,20.0,,80.0,0.6,12.9,,,,,,
2023-05-01 04:10:00,1.5,10.0,12.2,58.1,20.0,,80.0,1.0,12.9,,,,,,0.0
2023-05-01 04:15:00,1.7,10.1,12.7,59.2,20.0,,80.0,0.8,12.9,,,,,,
2023-05-01 04:20:00,1.9,9.8,12.8,58.6,19.3,,80.0,1.0,12.8,,,,,,0.0
2023-05-01 04:25:00,1.3,9.3,11.3,61.6,19.0,,80.0,1.0,12.9,,,,,,
2023-05-01 04:30:00,2.0,10.5,13.6,59.9,19.0,,80.0,1.3,12.8,,,,,,0.0
2023-05-01 04:35:00,1.5,10.2,12.4,61.6,19.0,,81.0,0.9,12.8,,,,,,
2023-05-01 04:40:00,1.1,10.3,12.0,60.3,19.0,,81.0,1.3,12.8,,,,,,0.0
2023-05-01 04:45:00,1.7,10.7,13.2,59.6,19.0,,81.0,0.8,12.7,,,,,,
2023-05-01 04:50:00,2.0,10.9,13.9,58.7,16.4,,81.0,1.2,12.7,,,,,,0.0
2023-05-01 04:55:00,2.7,11.2,15.3,60.1,15.0,,81.0,1.6,12.7,,,,,,
2023-05-01 05:00:00,1.9,12.5,15.3,59.4,15.0,,81.0,1.8,12.6,,,,,,0.0
