0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,1.1,20.9,22.6,,,21.0,,,,,,,0.6,,
2023-05-01 00:10:00,1.7,19.6,22.2,,,21.0,,,,,,,0.6,,
2023-05-01 00:15:00,1.1,18.1,19.9,,,21.0,,,,,,,0.6,,
2023-05-01 00:20:00,1.3,17.7,19.6,,,21.0,,,,,,,0.6,,
2023-05-01 00:25:00,1.6,17.9,20.4,,,21.0,,,,,,,0.6,,
2023-05-01 00:30:00,1.6,19.4,21.9,,,20.8,,,,,,,0.6,,
2023-05-01 00:35:00,1.2,19.6,21.4,,,19.0,,,,,,,0.6,,
2023-05-01 00:40:00,4.1,19.8,26.1,,,19.0,,,,,,,0.6,,
2023-05-01 00:45:00,3.3,23.0,28.1,,,19.0,,,,,,,0.6,,
2023-05-01 00:50:00,0.9,20.1,21.5,,,19.0,,,,,,,,,
2023-05-01 00:55:00,1.8,18.8,21.5,,,19.0,,,,,,,,,
2023-05-01 01:00:00,1.3,17.8,19.8,,,18.3,,,,,,,,,
2023-05-01 01:05:00,2.0,19.5,22.6,,,12.0,,,,,,,,,
2023-05-01 01:10:00,1.0,17.5,19.1,,,12.0,,,,,,,,,
2023-05-01 01:15:00,0.9,16.7,18.2,,,12.0,,,,,,,0.5,,
2023-05-01 01:20:00,1.4,18.5,20.5,,,12.0,,,,,,,0.6,,
2023-05-01 01:25:00,5.3,25.2,33.3,,,12.0,,,,,,,0.6,,
2023-05-01 01:30:00,1.1,20.6,22.3,,,11.9,,,,,,,0.6,,
2023-05-01 01:35:00,0.8,19.5,20.8,,,11.0,,,,,,,0.6,,
2023-05-01 01:40:00,1.1,19.4,21.1,,,11.0,,,,,,,0.6,,
2023-05-01 01:45:00,1.1,18.3,20.0,,,11.0,,,,,,,0.6,,
2023-05-01 01:50:00,3.4,20.4,25.6,,,11.0,,,,,,,0.6,,
2023-05-01 01:55:00,1.2,16.4,18.2,,,11.0,,,,,,,0.6,,
2023-05-01 02:00:00,1.0,15.5,16.9,,,11.8,,,,,,,0.6,,
2023-05-01 02:05:00,1.1,14.0,15.7,,,19.0,,,,,,,0.6,,
2023-05-01 02:10:00,1.6,16.6,19.0,,,19.0,,,,,,,0.6,,
2023-05-01 02:15:00,1.1,16.0,17.6,,,19.0,,,,,,,0.6,,
2023-05-01 02:20:00,0.8,13.5,14.8,,,19.0,,,,,,,0.6,,
2023-05-01 02:25:00,1.0,11.8,13.3,,,19.0,,,,,,,0.5,,
2023-05-01 02:30:00,0.9,12.2,13.6,,,17.8,,,,,,,0.6,,
2023-05-01 02:35:00,1.0,12.2,13.8,,,7.0,,,,,,,0.5,,
2023-05-01 02:40:00,1.1,13.7,15.4,,,7.0,,,,,,,0.6,,
2023-05-01 02:45:00,0.8,12.5,13.8,,,7.0,,,,,,,0.6,,
2023-05-01 02:50:00,,,,,,7.0,,,,,,,0.6,,
2023-05-01 02:55:00,,,,,,7.0,,,,,,,0.6,,
2023-05-01 03:00:00,,,,,,7.4,,,,,,,0.6,,
2023-05-01 03:05:00,,,,,,11.0,,,,,,,0.5,,
2023-05-01 03:10:00,,,,,,11.0,,,,,,,0.5,,
2023-05-01 03:15:00,1.3,11.3,13.3,,,11.0,,,,,,,0.5,,
2023-05-01 03:20:00,0.9,14.4,15.7,,,11.0,,,,,,,0.5,,
2023-05-01 03:25:00,1.0,14.7,16.3,,,11.0,,,,,,,0.6,,
2023-05-01 03:30:00,1.0,13.1,14.7,,,11.4,,,,,,,0.6,,
2023-05-01 03:35:00,1.0,13.3,14.8,,,15.0,,,,,,,0.5,,
2023-05-01 03:40:00,0.9,14.2,15.5,,,15.0,,,,,,,0.5,,
2023-05-01 03:45:00,1.3,14.2,16.1,,,15.0,,,,,,,0.5,,
2023-05-01 03:50:00,3.2,16.3,21.2,,,15.0,,,,,,,0.5,,
2023-05-01 03:55:00,0.9,13.9,15.3,,,15.0,,,,,,,0.5,,
2023-05-01 04:00:00,1.0,12.4,13.8,,,14.8,,,,,,,0.5,,
2023-05-01 04:05:00,1.1,11.7,13.3,,,13.0,,,,,,,0.5,,
2023-05-01 04:10:00,1.5,12.2,14.5,,,13.0,,,,,,,0.5,,
2023-05-01 04:15:00,4.1,17.4,23.6,,,13.0,,,,,,,0.5,,
2023-05-01 04:20:00,1.3,15.2,17.2,,,13.0,,,,,,,0.5,,
2023-05-01 04:25:00,1.2,18.7,20.5,,,13.0,,,,,,,0.5,,
2023-05-01 04:30:00,1.5,21.5,23.8,,,12.8,,,,,,,0.5,,
2023-05-01 04:35:00,1.1,20.7,22.4,,,11.0,,,,,,,0.5,,
2023-05-01 04:40:00,1.0,21.8,23.3,,,11.0,,,,,,,0.6,,
2023-05-01 04:45:00,3.0,26.5,31.1,,,11.0,,,,,,,0.6,,
2023-05-01 04:50:00,11.1,39.0,55.9,,,11.0,,,,,,,0.6,,
2023-05-01 04:55:00,3.7,29.9,35.5,,,11.0,,,,,,,0.6,,
2023-05-01 05:00:00,12.0,41.1,59.3,,,11.5,,,,,,,0.7,,
2023-05-01 05:05:00,1.6,23.4,25.8,,,16.0,,,,,,,0.6,,
2023-05-01 05:10:00,4.3,32.7,39.3,,,16.0,,,,,,,0.6,,
2023-05-01 05:15:00,3.2,35.5,40.4,,,16.0,,,,,,,0.6,,
2023-05-01 05:20:00,8.2,43.0,55.5,,,16.0,,,,,,,0.6,,
2023-05-01 05:25:00,7.7,41.4,53.2,,,16.0,,,,,,,0.6,,
2023-05-01 05:30:00,6.9,47.4,57.9,,,15.8,,,,,,,0.6,,
2023-05-01 05:35:00,10.1,55.8,71.2,,,14.0,,,,,,,0.7,,
2023-05-01 05:40:00,14.4,63.3,85.3,,,14.0,,,,,,,0.7,,
2023-05-01 05:45:00,8.1,49.5,61.8,,,14.0,,,,,,,0.7,,
2023-05-01 05:50:00,6.1,45.5,54.8,,,14.0,,,,,,,0.6,,
2023-05-01 05:55:00,10.6,51.2,67.4,,,14.0,,,,,,,0.7,,
2023-05-01 06:00:00,33.7,54.6,106.1,,,13.7,,,,,,,0.8,,
2023-05-01 06:05:00,19.7,59.6,89.7,,,11.0,,,,,,,0.7,,
2023-05-01 06:10:00,37.9,63.9,121.6,,,11.0,,,,,,,0.7,,
