0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,10.1,63.3,78.8,,42.0,11.0,,,,,,,0.2,,
2023-05-01 00:10:00,9.4,63.7,78.1,,42.0,11.0,,,,,,,0.2,,
2023-05-01 00:15:00,6.7,65.0,75.2,,42.0,11.0,,,,,,,0.2,,
2023-05-01 00:20:00,18.9,59.0,87.8,,42.0,11.0,,,,,,,0.2,,
2023-05-01 00:25:00,10.1,51.0,66.5,,42.0,11.0,,,,,,,0.2,,
2023-05-01 00:30:00,6.5,52.1,62.0,,42.0,11.0,,,,,,,0.2,,
2023-05-01 00:35:00,3.0,46.2,50.9,,42.0,11.0,,,,,,,0.2,,
2023-05-01 00:40:00,5.8,43.8,52.6,,42.0,11.0,,,,,,,0.1,,
2023-05-01 00:45:00,7.1,49.4,60.2,,42.0,11.0,,,,,,,0.1,,
2023-05-01 00:50:00,3.8,43.4,49.3,,42.0,11.0,,,,,,,0.1,,
2023-05-01 00:55:00,1.8,42.1,45.0,,42.0,11.0,,,,,,,0.1,,
2023-05-01 01:00:00,1.6,42.2,44.7,,42.0,11.0,,,,,,,0.1,,
2023-05-01 01:05:00,,,,,41.0,14.0,,,,,,,0.2,,
2023-05-01 01:10:00,,,,,41.0,14.0,,,,,,,0.2,,
2023-05-01 01:15:00,,,,,41.0,14.0,,,,,,,0.2,,
2023-05-01 01:20:00,,,,,41.0,14.0,,,,,,,0.2,,
2023-05-01 01:25:00,,,,,41.0,14.0,,,,,,,0.2,,
2023-05-01 01:30:00,,,,,41.0,14.0,,,,,,,0.2,,
2023-05-01 01:35:00,,,,,41.0,14.0,,,,,,,0.2,,
2023-05-01 01:40:00,,,,,41.0,14.0,,,,,,,0.2,,
2023-05-01 01:45:00,,,,,41.0,14.0,,,,,,,0.2,,
2023-05-01 01:50:00,,,,,41.0,14.0,,,,,,,0.2,,
2023-05-01 01:55:00,,,,,41.0,14.0,,,,,,,0.2,,
2023-05-01 02:00:00,,,,,39.0,14.0,,,,,,,0.2,,
2023-05-01 02:05:00,5.1,29.8,37.5,,39.0,16.0,,,,,,,,,
2023-05-01 02:10:00,0.8,28.2,29.5,,39.0,16.0,,,,,,,,,
2023-05-01 02:15:00,0.3,25.6,26.0,,39.0,16.0,,,,,,,,,
2023-05-01 02:20:00,0.6,26.4,27.2,,39.0,16.0,,,,,,,,,
2023-05-01 02:25:00,2.6,31.0,35.1,,39.0,16.0,,,,,,,,,
2023-05-01 02:30:00,3.3,35.1,40.2,,39.0,16.0,,,,,,,,,
2023-05-01 02:35:00,2.1,34.4,37.6,,39.0,16.0,,,,,,,,,
2023-05-01 02:40:00,1.6,32.2,34.7,,39.0,16.0,,,,,,,,,
2023-05-01 02:45:00,1.1,31.6,33.2,,39.0,16.0,,,,,,,,,
2023-05-01 02:50:00,0.8,32.1,33.3,,39.0,16.0,,,,,,,,,
2023-05-01 02:55:00,0.3,29.9,30.3,,39.0,16.0,,,,,,,,,
2023-05-01 03:00:00,2.5,32.9,36.6,,31.0,16.0,,,,,,,,,
2023-05-01 03:05:00,2.0,34.7,37.7,,31.0,17.0,,,,,,,0.5,,
2023-05-01 03:10:00,3.9,34.0,40.0,,31.0,17.0,,,,,,,0.2,,
2023-05-01 03:15:00,0.3,26.7,27.2,,31.0,17.0,,,,,,,0.1,,
2023-05-01 03:20:00,0.0,25.8,25.6,,31.0,17.0,,,,,,,0.1,,
2023-05-01 03:25:00,0.0,25.3,24.3,,31.0,17.0,,,,,,,0.2,,
2023-05-01 03:30:00,0.0,25.5,24.9,,31.0,17.0,,,,,,,0.1,,
2023-05-01 03:35:00,1.0,26.0,27.6,,31.0,17.0,,,,,,,0.1,,
2023-05-01 03:40:00,2.2,31.1,34.5,,31.0,17.0,,,,,,,0.1,,
2023-05-01 03:45:00,21.5,60.3,93.1,,31.0,17.0,,,,,,,0.4,,
2023-05-01 03:50:00,5.5,40.6,49.0,,31.0,17.0,,,,,,,0.1,,
2023-05-01 03:55:00,8.5,52.6,65.6,,31.0,17.0,,,,,,,0.1,,
2023-05-01 04:00:00,4.4,42.4,49.1,,42.0,17.0,,,,,,,0.3,,
2023-05-01 04:05:00,2.4,35.5,39.2,,42.0,13.0,,,,,,,0.2,,
2023-05-01 04:10:00,4.2,36.1,42.5,,42.0,13.0,,,,,,,0.1,,
2023-05-01 04:15:00,15.7,30.4,54.4,,42.0,13.0,,,,,,,0.1,,
2023-05-01 04:20:00,14.7,41.7,64.1,,42.0,13.0,,,,,,,0.1,,
2023-05-01 04:25:00,11.6,52.6,70.4,,42.0,13.0,,,,,,,0.1,,
2023-05-01 04:30:00,22.7,64.4,99.2,,42.0,13.0,,,,,,,0.2,,
2023-05-01 04:35:00,20.9,65.5,97.4,,42.0,13.0,,,,,,,0.2,,
2023-05-01 04:40:00,21.2,62.9,95.3,,42.0,13.0,,,,,,,0.2,,
2023-05-01 04:45:00,13.4,52.2,72.7,,42.0,13.0,,,,,,,0.1,,
2023-05-01 04:50:00,11.3,48.6,65.9,,42.0,13.0,,,,,,,0.2,,
2023-05-01 04:55:00,49.2,68.7,143.9,,42.0,13.0,,,,,,,0.1,,
2023-05-01 05:00:00,17.7,56.2,83.2,,46.0,13.0,,,,,,,0.1,,
2023-05-01 05:05:00,16.6,63.3,88.7,,46.0,17.0,,,,,,,0.2,,
2023-05-01 05:10:00,22.1,69.1,103.0,,46.0,17.0,,,,,,,0.1,,
2023-05-01 05:15:00,75.9,79.0,195.0,,46.0,17.0,,,,,,,0.2,,
2023-05-01 05:20:00,38.0,75.9,134.0,,46.0,17.0,,,,,,,0.2,,
2023-05-01 05:25:00,39.6,78.3,138.9,,46.0,17.0,,,,,,,0.2,,
2023-05-01 05:30:00,28.4,79.6,122.9,,46.0,17.0,,,,,,,0.2,,
2023-05-01 05:35:00,33.0,75.1,125.6,,46.0,17.0,,,,,,,0.2,,
2023-05-01 05:40:00,40.9,72.5,135.0,,46.0,17.0,,,,,,,0.2,,
2023-05-01 05:45:00,35.6,69.4,123.9,,46.0,17.0,,,,,,,0.2,,
2023-05-01 05:50:00,53.0,73.3,154.3,,46.0,17.0,,,,,,,0.2,,
2023-05-01 05:55:00,44.6,81.4,149.6,,46.0,17.0,,,,,,,0.1,,
