0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,,,,,,10.3,,,,,,,,,
2023-05-01 00:10:00,,,,,,10.3,,,,,,,,,
2023-05-01 00:15:00,,32.0,,,,10.3,,,,,,,,,
2023-05-01 00:20:00,5.7,55.3,64.5,,,8.3,,,,,,,,,
2023-05-01 00:25:00,10.8,57.2,73.5,,,8.9,,,,,,,,,
2023-05-01 00:30:00,6.9,60.1,70.3,,,10.7,,,,,,,,,
2023-05-01 00:35:00,12.2,54.6,73.1,,,15.5,,,,,,,,,
2023-05-01 00:40:00,5.6,53.4,62.0,,,19.1,,,,,,,,,
2023-05-01 00:45:00,6.0,53.1,62.1,,,18.8,,,,,,,,,
2023-05-01 00:50:00,5.4,52.7,61.0,,,16.5,,,,,,,,,
2023-05-01 00:55:00,5.8,53.0,61.9,,,16.5,,,,,,,,,
2023-05-01 01:00:00,4.7,51.1,58.1,,,12.8,,,,,,,,,
2023-05-01 01:05:00,8.3,51.0,64.2,,,10.2,,,,,,,,,
2023-05-01 01:10:00,7.5,50.1,61.2,,,14.0,,,,,,,,,
2023-05-01 01:15:00,6.5,50.9,60.8,,,17.1,,,,,,,,,
2023-05-01 01:20:00,4.5,50.7,57.4,,,19.1,,,,,,,,,
2023-05-01 01:25:00,6.7,54.8,65.3,,,19.6,,,,,,,,,
2023-05-01 01:30:00,6.4,59.6,69.4,,,20.5,,,,,,,,,
2023-05-01 01:35:00,6.5,58.8,68.6,,,19.4,,,,,,,,,
2023-05-01 01:40:00,8.2,57.3,69.8,,,18.3,,,,,,,,,
2023-05-01 01:45:00,5.9,53.9,63.0,,,16.4,,,,,,,,,
2023-05-01 01:50:00,5.8,49.4,58.1,,,17.3,,,,,,,,,
2023-05-01 01:55:00,4.4,45.5,52.2,,,20.6,,,,,,,,,
2023-05-01 02:00:00,4.1,44.1,50.4,,,20.7,,,,,,,,,
2023-05-01 02:05:00,4.6,42.4,49.4,,,18.8,,,,,,,,,
2023-05-01 02:10:00,4.4,42.4,49.2,,,16.6,,,,,,,,,
2023-05-01 02:15:00,5.8,43.4,52.1,,,16.6,,,,,,,,,
2023-05-01 02:20:00,18.2,48.1,75.9,,,17.3,,,,,,,,,
2023-05-01 02:25:00,3.8,40.4,46.2,,,19.4,,,,,,,,,
2023-05-01 02:30:00,5.9,39.7,48.8,,,18.9,,,,,,,,,
2023-05-01 02:35:00,4.8,38.7,46.0,,,21.7,,,,,,,,,
2023-05-01 02:40:00,5.5,39.1,47.5,,,22.2,,,,,,,,,
2023-05-01 02:45:00,4.4,38.3,45.2,,,22.7,,,,,,,,,
2023-05-01 02:50:00,9.5,41.2,56.3,,,20.2,,,,,,,,,
2023-05-01 02:55:00,6.2,39.1,48.3,,,18.6,,,,,,,,,
2023-05-01 03:00:00,8.4,40.5,53.0,,,18.8,,,,,,,,,
2023-05-01 03:05:00,4.5,37.3,44.1,,,16.3,,,,,,,,,
2023-05-01 03:10:00,4.4,37.2,43.9,,,14.6,,,,,,,,,
2023-05-01 03:15:00,6.2,38.1,47.6,,,17.0,,,,,,,,,
2023-05-01 03:20:00,6.4,36.9,46.7,,,17.5,,,,,,,,,
2023-05-01 03:25:00,4.5,35.3,42.2,,,17.9,,,,,,,,,
2023-05-01 03:30:00,5.6,39.2,48.3,,,20.2,,,,,,,,,
2023-05-01 03:35:00,5.3,40.1,47.7,,,21.5,,,,,,,,,
2023-05-01 03:40:00,7.5,42.6,55.2,,,18.3,,,,,,,,,
2023-05-01 03:45:00,11.0,45.6,61.4,,,17.3,,,,,,,,,
2023-05-01 03:50:00,4.9,39.6,46.9,,,18.1,,,,,,,,,
2023-05-01 03:55:00,4.4,39.3,46.1,,,16.1,,,,,,,,,
2023-05-01 04:00:00,8.0,45.8,58.4,,,16.2,,,,,,,,,
2023-05-01 04:05:00,11.1,54.8,71.2,,,16.0,,,,,,,,,
2023-05-01 04:10:00,16.5,58.6,84.1,,,16.6,,,,,,,,,
2023-05-01 04:15:00,6.7,55.0,65.0,,,15.4,,,,,,,,,
2023-05-01 04:20:00,9.1,57.3,71.4,,,13.2,,,,,,,,,
2023-05-01 04:25:00,14.1,52.1,73.3,,,13.6,,,,,,,,,
2023-05-01 04:30:00,6.4,49.5,59.2,,,14.0,,,,,,,,,
2023-05-01 04:35:00,8.4,51.9,64.8,,,12.3,,,,,,,,,
2023-05-01 04:40:00,21.8,51.5,84.9,,,11.9,,,,,,,,,
2023-05-01 04:45:00,6.2,51.6,61.1,,,14.7,,,,,,,,,
2023-05-01 04:50:00,28.3,60.3,103.5,,,14.7,,,,,,,,,
2023-05-01 04:55:00,10.9,57.7,75.7,,,15.6,,,,,,,,,
2023-05-01 05:00:00,26.5,59.6,99.6,,,17.7,,,,,,,,,
2023-05-01 05:05:00,102.0,42.9,198.4,,,16.3,,,,,,,,,
2023-05-01 05:10:00,26.9,48.4,89.5,,,16.2,,,,,,,,,
2023-05-01 05:15:00,23.2,55.0,92.4,,,17.3,,,,,,,,,
2023-05-01 05:20:00,21.7,54.3,85.7,,,17.9,,,,,,,,,
2023-05-01 05:25:00,11.6,51.5,69.0,,,13.7,,,,,,,,,
2023-05-01 05:30:00,21.5,57.8,91.1,,,12.4,,,,,,,,,
2023-05-01 05:35:00,35.2,52.7,106.7,,,11.3,,,,,,,,,
2023-05-01 05:40:00,27.0,66.2,107.3,,,12.0,,,,,,,,,
2023-05-01 05:45:00,37.3,62.9,120.3,,,12.0,,,,,,,,,
2023-05-01 05:50:00,37.1,60.1,117.8,,,10.9,,,,,,,,,
2023-05-01 05:55:00,38.3,63.7,123.2,,,11.1,,,,,,,,,
2023-05-01 06:00:00,50.8,69.1,145.2,,,13.1,,,,,,,,,
2023-05-01 06:05:00,28.7,64.2,107.7,,,14.0,,,,,,,,,
2023-05-01 06:10:00,58.7,66.8,156.4,,,12.9,,,,,,,,,
2023-05-01 06:15:00,35.7,71.9,126.7,,,13.2,,,,,,,,,
2023-05-01 06:20:00,32.6,60.8,110.3,,,14.1,,,,,,,,,
2023-05-01 06:25:00,29.5,69.8,114.8,,,12.5,,,,,,,,,
2023-05-01 06:30:00,21.6,57.9,90.6,,,10.5,,,,,,,,,
2023-05-01 06:35:00,33.4,55.6,106.9,,,8.1,,,,,,,,,
2023-05-01 06:40:00,32.0,57.3,106.3,,,5.6,,,,,,,,,
2023-05-01 06:45:00,22.5,54.1,90.3,,,6.5,,,,,,,,,
2023-05-01 06:50:00,20.3,44.3,72.9,,,7.0,,,,,,,,,
2023-05-01 06:55:00,8.3,35.6,48.1,,,4.5,,,,,,,,,
2023-05-01 07:00:00,37.7,37.6,96.1,,,4.3,,,,,,,,,
2023-05-01 07:05:00,32.6,46.3,96.0,,,4.5,,,,,,,,,
2023-05-01 07:10:00,28.1,43.9,86.3,,,0.5,,,,,,,,,
2023-05-01 07:15:00,11.0,31.8,48.5,,,-1.0,,,,,,,,,
2023-05-01 07:20:00,7.4,31.5,42.9,,,-0.5,,,,,,,,,
2023-05-01 07:25:00,7.4,27.7,39.0,,,1.6,,,,,,,,,
2023-05-01 07:30:00,18.1,30.6,58.3,,,2.2,,,,,,,,,
2023-05-01 07:35:00,9.5,35.9,50.4,,,1.0,,,,,,,,,
2023-05-01 07:40:00,10.4,29.0,44.8,,,3.5,,,,,,,,,
2023-05-01 07:45:00,14.2,22.8,44.4,,,2.4,,,,,,,,,
2023-05-01 07:50:00,7.7,25.5,37.7,,,0.2,,,,,,,,,
2023-05-01 07:55:00,17.5,31.5,58.9,,,-0.1,,,,,,,,,
2023-05-01 08:00:00,43.0,36.9,107.6,,,1.2,,,,,,,,,
2023-05-01 08:05:00,15.2,21.1,38.5,,,2.8,,,,,,,,,
2023-05-01 08:10:00,6.5,16.6,26.4,,,5.8,,,,,,,,,
2023-05-01 08:15:00,6.7,17.4,27.9,,,4.7,,,,,,,,,
2023-05-01 08:20:00,6.8,12.3,22.5,,,1.1,,,,,,,,,
2023-05-01 08:25:00,5.0,11.3,18.9,,,2.9,,,,,,,,,
2023-05-01 08:30:00,4.8,12.3,19.6,,,0.5,,,,,,,,,
2023-05-01 08:35:00,5.0,11.0,18.7,,,1.0,,,,,,,,,
2023-05-01 08:40:00,4.8,9.3,16.6,,,0.5,,,,,,,,,
2023-05-01 08:45:00,4.6,9.3,16.3,,,2.1,,,,,,,,,
2023-05-01 08:50:00,4.7,9.8,16.9,,,4.3,,,,,,,,,
2023-05-01 08:55:00,5.8,13.4,22.2,,,10.8,,,,,,,,,
2023-05-01 09:00:00,4.4,8.3,14.9,,,13.2,,,,,,,,,
2023-05-01 09:05:00,4.3,6.8,13.4,,,12.2,,,,,,,,,
2023-05-01 09:10:00,4.2,6.5,13.0,,,10.4,,,,,,,,,
2023-05-01 09:15:00,4.4,6.8,13.5,,,7.5,,,,,,,,,
2023-05-01 09:20:00,4.4,7.2,13.8,,,6.6,,,,,,,,,
2023-05-01 09:25:00,4.8,8.3,15.6,,,6.2,,,,,,,,,
2023-05-01 09:30:00,4.4,6.4,13.1,,,5.1,,,,,,,,,
2023-05-01 09:35:00,4.6,7.7,14.7,,,5.5,,,,,,,,,
2023-05-01 09:40:00,4.6,8.0,15.0,,,4.1,,,,,,,,,
2023-05-01 09:45:00,4.5,7.6,14.4,,,3.2,,,,,,,,,
2023-05-01 09:50:00,4.5,6.7,13.5,,,5.2,,,,,,,,,
2023-05-01 09:55:00,5.6,6.1,14.8,,,5.9,,,,,,,,,
2023-05-01 10:00:00,4.4,7.8,14.5,,,10.5,,,,,,,,,
2023-05-01 10:05:00,4.7,6.0,13.2,,,9.1,,,,,,,,,
2023-05-01 10:10:00,4.0,5.0,11.1,,,5.7,,,,,,,,,
2023-05-01 10:15:00,4.4,6.1,12.8,,,6.9,,,,,,,,,
2023-05-01 10:20:00,4.5,5.4,12.2,,,8.2,,,,,,,,,
2023-05-01 10:25:00,5.6,10.2,18.7,,,9.3,,,,,,,,,
2023-05-01 10:30:00,4.3,6.6,13.1,,,9.6,,,,,,,,,
2023-05-01 10:35:00,4.4,6.1,12.9,,,9.9,,,,,,,,,
2023-05-01 10:40:00,4.2,5.6,12.0,,,7.4,,,,,,,,,
2023-05-01 10:45:00,4.5,7.2,14.1,,,8.1,,,,,,,,,
2023-05-01 10:50:00,4.2,4.9,11.3,,,8.2,,,,,,,,,
2023-05-01 10:55:00,4.5,5.5,12.4,,,9.4,,,,,,,,,
2023-05-01 11:00:00,4.8,6.7,14.1,,,7.7,,,,,,,,,
2023-05-01 11:05:00,4.5,6.2,13.1,,,6.3,,,,,,,,,
2023-05-01 11:10:00,5.8,6.0,14.9,,,6.2,,,,,,,,,
2023-05-01 11:15:00,4.7,4.5,11.6,,,4.5,,,,,,,,,
2023-05-01 11:20:00,5.1,8.4,16.2,,,3.1,,,,,,,,,
2023-05-01 11:25:00,5.0,6.9,14.5,,,3.2,,,,,,,,,
2023-05-01 11:30:00,4.5,5.3,12.1,,,3.2,,,,,,,,,
2023-05-01 11:35:00,4.7,4.6,11.9,,,3.7,,,,,,,,,
2023-05-01 11:40:00,4.6,4.8,11.8,,,4.0,,,,,,,,,
2023-05-01 11:45:00,5.3,6.6,14.6,,,5.2,,,,,,,,,
2023-05-01 11:50:00,4.3,5.8,12.4,,,8.8,,,,,,,,,
2023-05-01 11:55:00,4.1,5.5,11.7,,,13.7,,,,,,,,,
2023-05-01 12:00:00,4.5,6.5,13.4,,,14.3,,,,,,,,,
2023-05-01 12:05:00,4.2,4.7,11.0,,,14.4,,,,,,,,,
2023-05-01 12:10:00,4.9,7.3,14.8,,,12.4,,,,,,,,,
2023-05-01 12:15:00,4.4,4.7,11.5,,,13.1,,,,,,,,,
2023-05-01 12:20:00,4.4,6.3,12.9,,,9.1,,,,,,,,,
2023-05-01 12:25:00,4.3,5.1,11.8,,,7.8,,,,,,,,,
2023-05-01 12:30:00,4.3,5.0,11.7,,,5.9,,,,,,,,,
2023-05-01 12:35:00,4.2,3.6,10.0,,,4.0,,,,,,,,,
2023-05-01 12:40:00,4.4,5.1,11.8,,,4.6,,,,,,,,,
2023-05-01 12:45:00,4.5,4.7,11.5,,,5.9,,,,,,,,,
2023-05-01 12:50:00,5.0,5.3,12.9,,,8.5,,,,,,,,,
2023-05-01 12:55:00,4.9,6.7,14.1,,,10.4,,,,,,,,,
2023-05-01 13:00:00,4.7,4.7,11.9,,,13.9,,,,,,,,,
2023-05-01 13:05:00,6.0,9.8,19.1,,,13.9,,,,,,,,,
2023-05-01 13:10:00,7.2,3.1,14.1,,,11.4,,,,,,,,,
2023-05-01 13:15:00,4.6,5.0,11.9,,,9.7,,,,,,,,,
2023-05-01 13:20:00,4.6,2.9,10.0,,,12.2,,,,,,,,,
2023-05-01 13:25:00,4.2,3.6,10.0,,,13.8,,,,,,,,,
2023-05-01 13:30:00,4.2,3.9,10.4,,,13.8,,,,,,,,,
2023-05-01 13:35:00,4.6,6.2,13.3,,,13.0,,,,,,,,,
2023-05-01 13:40:00,5.1,6.4,14.2,,,10.5,,,,,,,,,
2023-05-01 13:45:00,7.8,2.4,14.3,,,10.6,,,,,,,,,
2023-05-01 13:50:00,5.2,4.1,12.0,,,10.6,,,,,,,,,
2023-05-01 13:55:00,5.8,11.8,20.7,,,5.0,,,,,,,,,
2023-05-01 14:00:00,5.9,12.1,21.1,,,2.2,,,,,,,,,
2023-05-01 14:05:00,5.1,7.8,15.7,,,2.8,,,,,,,,,
2023-05-01 14:10:00,7.1,12.5,23.4,,,2.3,,,,,,,,,
2023-05-01 14:15:00,5.2,10.7,18.6,,,0.9,,,,,,,,,
2023-05-01 14:20:00,6.4,13.0,22.9,,,3.8,,,,,,,,,
2023-05-01 14:25:00,6.8,16.1,26.5,,,4.7,,,,,,,,,
2023-05-01 14:30:00,8.1,25.6,38.0,,,4.9,,,,,,,,,
2023-05-01 14:35:00,7.1,13.5,24.3,,,7.3,,,,,,,,,
2023-05-01 14:40:00,5.8,11.3,20.2,,,9.3,,,,,,,,,
2023-05-01 14:45:00,25.9,6.2,45.8,,,8.9,,,,,,,,,
2023-05-01 14:50:00,5.7,13.2,22.0,,,6.2,,,,,,,,,
2023-05-01 14:55:00,7.1,15.5,26.3,,,6.5,,,,,,,,,
2023-05-01 15:00:00,6.6,13.0,23.2,,,7.2,,,,,,,,,
2023-05-01 15:05:00,7.0,7.3,17.8,,,7.0,,,,,,,,,
2023-05-01 15:10:00,6.1,12.2,21.4,,,7.5,,,,,,,,,
2023-05-01 15:15:00,5.7,9.1,18.0,,,8.8,,,,,,,,,
2023-05-01 15:20:00,5.5,10.1,18.3,,,10.0,,,,,,,,,
2023-05-01 15:25:00,8.9,14.8,28.3,,,10.8,,,,,,,,,
2023-05-01 15:30:00,29.5,5.2,50.3,,,8.8,,,,,,,,,
2023-05-01 15:35:00,10.8,38.1,54.5,,,8.1,,,,,,,,,
2023-05-01 15:40:00,,,,,,6.3,,,,,,,,,
2023-05-01 15:45:00,6.2,10.9,20.2,,,6.0,,,,,,,,,
2023-05-01 15:50:00,21.4,2.5,34.9,,,5.9,,,,,,,,,
2023-05-01 15:55:00,8.3,16.2,29.3,,,7.1,,,,,,,,,
2023-05-01 16:00:00,12.9,14.7,34.5,,,7.6,,,,,,,,,
2023-05-01 16:05:00,7.2,15.0,26.1,,,7.8,,,,,,,,,
2023-05-01 16:10:00,31.0,48.4,94.7,,,10.3,,,,,,,,,
2023-05-01 16:15:00,9.4,19.7,35.1,,,14.0,,,,,,,,,
2023-05-01 16:20:00,10.9,7.6,24.1,,,12.3,,,,,,,,,
2023-05-01 16:25:00,28.1,29.9,73.0,,,10.7,,,,,,,,,
2023-05-01 16:30:00,18.1,13.3,40.4,,,11.4,,,,,,,,,
2023-05-01 16:35:00,9.2,16.0,30.5,,,8.9,,,,,,,,,
2023-05-01 16:40:00,11.3,19.9,37.2,,,8.7,,,,,,,,,
2023-05-01 16:45:00,7.0,13.4,23.8,,,7.6,,,,,,,,,
2023-05-01 16:50:00,17.5,21.9,48.7,,,6.6,,,,,,,,,
2023-05-01 16:55:00,23.3,25.4,60.9,,,8.5,,,,,,,,,
2023-05-01 17:00:00,10.8,12.5,29.6,,,10.8,,,,,,,,,
2023-05-01 17:05:00,12.4,12.9,31.2,,,11.4,,,,,,,,,
2023-05-01 17:10:00,14.4,16.9,39.2,,,13.0,,,,,,,,,
2023-05-01 17:15:00,8.7,6.6,19.9,,,14.5,,,,,,,,,
2023-05-01 17:20:00,12.4,21.7,40.5,,,15.3,,,,,,,,,
2023-05-01 17:25:00,6.2,9.1,18.7,,,15.3,,,,,,,,,
2023-05-01 17:30:00,7.6,15.2,26.7,,,14.3,,,,,,,,,
2023-05-01 17:35:00,8.7,7.5,21.2,,,18.0,,,,,,,,,
2023-05-01 17:40:00,,,,,,19.6,,,,,,,,,
2023-05-01 17:45:00,9.8,12.3,27.3,,,17.5,,,,,,,,,
2023-05-01 17:50:00,8.2,9.7,22.2,,,17.5,,,,,,,,,
2023-05-01 17:55:00,6.5,8.2,18.2,,,18.1,,,,,,,,,
2023-05-01 18:00:00,7.9,17.6,28.8,,,16.2,,,,,,,,,
2023-05-01 18:05:00,19.0,30.5,59.8,,,20.1,,,,,,,,,
2023-05-01 18:10:00,13.7,19.6,41.2,,,21.5,,,,,,,,,
2023-05-01 18:15:00,9.4,10.3,24.3,,,20.4,,,,,,,,,
2023-05-01 18:20:00,14.6,14.8,37.6,,,20.3,,,,,,,,,
2023-05-01 18:25:00,5.6,12.4,20.8,,,19.0,,,,,,,,,
2023-05-01 18:30:00,8.8,19.4,32.1,,,20.7,,,,,,,,,
2023-05-01 18:35:00,12.7,18.0,37.8,,,22.6,,,,,,,,,
2023-05-01 18:40:00,11.9,19.9,38.6,,,21.5,,,,,,,,,
2023-05-01 18:45:00,7.3,16.7,27.8,,,19.4,,,,,,,,,
2023-05-01 18:50:00,5.0,11.7,19.3,,,18.8,,,,,,,,,
2023-05-01 18:55:00,11.7,39.0,56.9,,,16.1,,,,,,,,,
2023-05-01 19:00:00,11.9,5.2,23.2,,,16.1,,,,,,,,,
2023-05-01 19:05:00,32.7,26.2,75.9,,,19.2,,,,,,,,,
2023-05-01 19:10:00,4.6,9.1,16.1,,,20.8,,,,,,,,,
2023-05-01 19:15:00,14.0,18.3,39.9,,,20.5,,,,,,,,,
2023-05-01 19:20:00,8.4,17.8,29.9,,,17.4,,,,,,,,,
2023-05-01 19:25:00,6.0,14.0,23.9,,,16.8,,,,,,,,,
2023-05-01 19:30:00,7.2,18.6,29.3,,,13.9,,,,,,,,,
2023-05-01 19:35:00,6.0,16.4,25.8,,,13.1,,,,,,,,,
2023-05-01 19:40:00,9.4,22.0,36.0,,,12.6,,,,,,,,,
2023-05-01 19:45:00,7.3,27.5,38.7,,,10.7,,,,,,,,,
2023-05-01 19:50:00,7.4,14.9,26.5,,,9.0,,,,,,,,,
2023-05-01 19:55:00,5.4,16.2,24.4,,,13.8,,,,,,,,,
2023-05-01 20:00:00,6.9,19.9,30.5,,,15.2,,,,,,,,,
2023-05-01 20:05:00,9.1,19.2,32.8,,,15.9,,,,,,,,,
2023-05-01 20:10:00,7.6,18.0,29.8,,,17.6,,,,,,,,,
2023-05-01 20:15:00,7.7,20.8,32.1,,,15.6,,,,,,,,,
2023-05-01 20:20:00,5.2,13.0,21.5,,,12.6,,,,,,,,,
2023-05-01 20:25:00,5.0,16.0,23.4,,,13.0,,,,,,,,,
2023-05-01 20:30:00,8.0,18.1,30.3,,,13.7,,,,,,,,,
2023-05-01 20:35:00,6.2,17.5,26.4,,,12.8,,,,,,,,,
2023-05-01 20:40:00,6.1,20.8,30.9,,,13.7,,,,,,,,,
2023-05-01 20:45:00,5.0,10.4,18.0,,,12.9,,,,,,,,,
2023-05-01 20:50:00,7.0,18.4,29.0,,,12.2,,,,,,,,,
2023-05-01 20:55:00,6.9,24.3,34.8,,,10.3,,,,,,,,,
2023-05-01 21:00:00,7.9,15.9,27.8,,,12.1,,,,,,,,,
2023-05-01 21:05:00,7.6,22.0,33.9,,,13.6,,,,,,,,,
2023-05-01 21:10:00,13.8,47.5,67.4,,,14.8,,,,,,,,,
2023-05-01 21:15:00,10.0,23.9,39.8,,,17.1,,,,,,,,,
2023-05-01 21:20:00,26.7,29.8,69.8,,,17.2,,,,,,,,,
2023-05-01 21:25:00,6.9,28.8,40.1,,,14.9,,,,,,,,,
2023-05-01 21:30:00,11.7,36.6,54.4,,,12.5,,,,,,,,,
2023-05-01 21:35:00,7.2,24.9,36.3,,,14.8,,,,,,,,,
2023-05-01 21:40:00,7.8,27.7,39.5,,,17.4,,,,,,,,,
2023-05-01 21:45:00,17.7,25.0,52.1,,,19.4,,,,,,,,,
