0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,1.5,5.6,7.8,44.0,,8.0,79.1,,13.3,,,0.0,,,
2023-05-01 00:10:00,1.3,5.4,7.4,43.7,,5.7,79.2,,13.3,,,0.0,,,0.0
2023-05-01 00:15:00,1.3,5.9,7.8,42.8,,5.0,79.3,,13.3,,,0.0,,,
2023-05-01 00:20:00,1.3,6.5,8.5,40.5,,5.0,79.4,,13.3,,,0.0,,,0.0
2023-05-01 00:25:00,1.9,10.5,13.4,34.0,,5.0,79.5,,13.3,,,0.0,,,
2023-05-01 00:30:00,1.3,12.7,14.7,32.1,,5.0,79.4,,13.3,,,0.0,,,0.0
2023-05-01 00:35:00,1.4,9.6,11.8,34.0,,5.0,79.3,,13.3,,,0.0,,,
2023-05-01 00:40:00,1.2,8.0,9.8,35.6,,5.0,79.3,,13.3,,,0.0,,,0.0
2023-05-01 00:45:00,1.3,7.1,9.1,36.1,,5.0,79.3,,13.3,,,0.0,,,
2023-05-01 00:50:00,1.3,6.5,8.4,37.6,,5.0,79.5,,13.2,,,0.0,,,0.0
2023-05-01 00:55:00,1.3,6.8,8.8,37.9,,5.0,79.6,,13.2,,,0.0,,,
2023-05-01 01:00:00,1.3,6.5,8.5,37.2,,5.0,79.7,,13.2,,,0.0,,,0.0
2023-05-01 01:05:00,1.2,7.6,9.5,36.6,,5.0,79.8,,13.1,,,0.0,,,
2023-05-01 01:10:00,1.4,8.0,10.2,36.2,,3.47,79.8,,13.1,,,0.0,,,0.0
2023-05-01 01:15:00,1.5,7.0,9.3,36.2,,3.0,79.8,,13.1,,,0.0,,,
2023-05-01 01:20:00,1.4,6.8,8.9,37.9,,3.0,79.8,,13.0,,,0.0,,,0.0
2023-05-01 01:25:00,1.4,7.2,9.3,36.5,,3.0,79.8,,13.0,,,0.0,,,
2023-05-01 01:30:00,1.3,10.7,12.7,33.3,,3.0,79.9,,12.9,,,0.0,,,0.0
2023-05-01 01:35:00,1.3,13.6,15.6,31.2,,3.0,79.9,,12.9,,,0.0,,,
2023-05-01 01:40:00,1.3,14.3,16.3,30.3,,3.0,79.9,,12.8,,,0.0,,,0.0
2023-05-01 01:45:00,1.3,12.2,14.1,32.6,,3.0,80.0,,12.8,,,0.0,,,
2023-05-01 01:50:00,,,,37.5,,3.0,80.1,,12.8,,,0.0,,,
2023-05-01 01:55:00,,,,35.7,,3.0,80.4,,12.7,,,0.0,,,
2023-05-01 02:00:00,,,,34.8,,3.0,80.5,,12.7,,,0.0,,,
2023-05-01 02:05:00,,,,34.3,,3.0,80.6,,12.7,,,0.0,,,
2023-05-01 02:10:00,,,,36.6,,5.3,80.7,,12.7,,,0.0,,,
2023-05-01 02:15:00,1.3,6.9,9.0,37.5,,6.0,80.8,,12.7,,,0.0,,,
2023-05-01 02:20:00,1.3,6.7,8.7,38.2,,6.0,80.9,,12.8,,,0.0,,,0.0
2023-05-01 02:25:00,1.3,7.1,9.1,39.3,,6.0,80.9,,12.7,,,0.0,,,
2023-05-01 02:30:00,1.3,7.3,9.2,38.8,,6.0,80.9,,12.7,,,0.0,,,0.0
2023-05-01 02:35:00,1.4,8.1,10.2,37.6,,6.0,80.9,,12.7,,,0.0,,,
2023-05-01 02:40:00,1.4,8.3,10.5,38.3,,6.0,80.9,,12.7,,,0.0,,,0.0
2023-05-01 02:45:00,1.5,7.5,9.7,41.1,,6.0,81.1,,12.6,,,0.0,,,
2023-05-01 02:50:00,1.4,7.0,9.2,39.3,,6.0,81.3,,12.6,,,0.0,,,0.0
2023-05-01 02:55:00,1.3,7.4,9.5,38.3,,6.0,81.4,,12.6,,,0.0,,,
2023-05-01 03:00:00,1.4,7.1,9.2,39.7,,6.0,81.5,,12.6,,,0.0,,,0.0
