0,EP_station_NO,EP_station_NO2,EP_station_NOX,EP_station_O3,EP_station_PM10,EP_station_PM2.5,EP_station_RH,EP_station_SO2,EP_station_Temp,EP_station_WD,EP_station_WS,EP_station_Rain,EP_station_CO,EP_station_Benzene,factor0
2023-05-01 00:05:00,0.0,12.3,12.3,,16.5,8.65,,,,,,,,,
2023-05-01 00:10:00,0.4,13.0,13.6,,14.3,8.41,,,,,,,,,
2023-05-01 00:15:00,0.3,13.8,14.3,,15.1,8.73,,,,,,,,,
2023-05-01 00:20:00,0.0,13.8,13.7,,15.6,8.91,,,,,,,,,
2023-05-01 00:25:00,0.0,13.0,12.6,,17.1,9.23,,,,,,,,,
2023-05-01 00:30:00,0.0,11.8,11.5,,17.0,9.06,,,,,,,,,
2023-05-01 00:35:00,0.0,9.8,9.4,,16.5,8.9,,,,,,,,,
2023-05-01 00:40:00,0.0,9.0,8.6,,15.8,8.62,,,,,,,,,
2023-05-01 00:45:00,0.5,8.6,9.3,,15.1,8.34,,,,,,,,,
2023-05-01 00:50:00,1.1,7.4,9.1,,13.9,7.94,,,,,,,,,
2023-05-01 00:55:00,1.0,7.0,8.6,,12.7,7.49,,,,,,,,,
2023-05-01 01:00:00,0.4,8.4,9.1,,12.7,7.33,,,,,,,,,
2023-05-01 01:05:00,,,,,13.1,7.47,,1.4,,,,,,,
2023-05-01 01:10:00,,,,,14.7,7.94,,1.3,,,,,,,
2023-05-01 01:15:00,,,,,14.9,8.14,,1.1,,,,,,,
2023-05-01 01:20:00,,,,,15.9,8.33,,1.2,,,,,,,
2023-05-01 01:25:00,,,,,15.9,8.5,,1.0,,,,,,,
2023-05-01 01:30:00,,,,,16.8,8.6,,0.9,,,,,,,
2023-05-01 01:35:00,,,,,16.0,8.43,,1.0,,,,,,,
2023-05-01 01:40:00,,,,,15.0,8.12,,1.1,,,,,,,
2023-05-01 01:45:00,,,,,13.2,7.89,,0.7,,,,,,,
2023-05-01 01:50:00,,,,,13.6,7.94,,0.7,,,,,,,
2023-05-01 01:55:00,,,,,14.2,8.1,,0.9,,,,,,,
2023-05-01 02:00:00,,,,,15.0,8.16,,1.0,,,,,,,
2023-05-01 02:05:00,0.0,6.6,6.1,,14.5,7.93,,0.8,,,,,,,
2023-05-01 02:10:00,0.0,6.6,5.7,,15.0,7.88,,0.8,,,,,,,
2023-05-01 02:15:00,0.0,6.6,5.7,,14.7,7.83,,0.9,,,,,,,
2023-05-01 02:20:00,0.0,7.9,7.4,,14.7,7.96,,0.6,,,,,,,
2023-05-01 02:25:00,0.1,7.7,7.9,,13.8,7.8,,1.0,,,,,,,
2023-05-01 02:30:00,0.4,6.3,6.9,,13.7,7.62,,1.0,,,,,,,
2023-05-01 02:35:00,0.1,7.6,7.8,,14.1,7.68,,0.8,,,,,,,
2023-05-01 02:40:00,0.0,9.2,9.1,,14.8,8.03,,0.8,,,,,,,
2023-05-01 02:45:00,0.0,10.0,9.4,,15.2,8.52,,0.8,,,,,,,
2023-05-01 02:50:00,0.0,10.0,9.2,,15.9,8.94,,0.7,,,,,,,
2023-05-01 02:55:00,0.0,8.8,8.3,,15.6,8.96,,0.8,,,,,,,
2023-05-01 03:00:00,0.2,7.2,7.5,,15.1,8.69,,0.7,,,,,,,
2023-05-01 03:05:00,0.3,5.8,6.3,,14.0,8.12,,0.6,,,,,,,
2023-05-01 03:10:00,0.4,5.7,6.3,,13.5,7.75,,0.7,,,,,,,
2023-05-01 03:15:00,0.5,5.9,6.7,,13.4,7.63,,0.7,,,,,,,
2023-05-01 03:20:00,0.6,6.7,7.6,,13.3,7.73,,0.7,,,,,,,
2023-05-01 03:25:00,0.6,7.7,8.6,,13.9,7.96,,0.9,,,,,,,
2023-05-01 03:30:00,0.3,8.2,8.7,,15.2,8.25,,0.8,,,,,,,
2023-05-01 03:35:00,0.0,8.3,7.5,,15.3,8.51,,0.8,,,,,,,
2023-05-01 03:40:00,0.0,7.4,6.4,,14.4,8.61,,0.6,,,,,,,
2023-05-01 03:45:00,0.0,6.9,6.1,,13.6,8.74,,0.5,,,,,,,
2023-05-01 03:50:00,0.0,6.3,6.1,,14.5,8.79,,0.8,,,,,,,
2023-05-01 03:55:00,0.0,7.1,7.0,,14.9,8.74,,0.8,,,,,,,
2023-05-01 04:00:00,0.7,5.9,6.9,,14.5,8.67,,0.7,,,,,,,
2023-05-01 04:05:00,0.7,5.4,6.4,,16.4,8.94,,1.0,,,,,,,
2023-05-01 04:10:00,0.2,5.9,6.2,,17.8,9.05,,0.9,,,,,,,
2023-05-01 04:15:00,0.1,6.9,7.1,,19.0,9.07,,0.6,,,,,,,
2023-05-01 04:20:00,0.2,7.2,7.5,,17.1,8.95,,0.9,,,,,,,
2023-05-01 04:25:00,0.3,8.7,9.2,,15.2,8.95,,0.8,,,,,,,
2023-05-01 04:30:00,0.4,9.4,10.0,,14.2,8.98,,1.1,,,,,,,
2023-05-01 04:35:00,0.0,9.5,9.6,,14.0,9.01,,1.0,,,,,,,
2023-05-01 04:40:00,0.0,9.1,8.2,,14.0,9.03,,0.7,,,,,,,
2023-05-01 04:45:00,0.0,8.0,7.3,,13.7,9.02,,0.7,,,,,,,
2023-05-01 04:50:00,0.0,8.6,8.3,,13.4,8.78,,0.7,,,,,,,
2023-05-01 04:55:00,0.0,9.1,8.4,,13.3,8.81,,0.9,,,,,,,
2023-05-01 05:00:00,0.0,8.1,7.5,,14.1,9.12,,0.7,,,,,,,
2023-05-01 05:05:00,0.0,8.7,8.3,,15.7,9.64,,0.8,,,,,,,
2023-05-01 05:10:00,0.0,8.6,7.9,,18.0,9.75,,0.6,,,,,,,
2023-05-01 05:15:00,0.0,7.7,6.7,,18.7,9.57,,0.7,,,,,,,
2023-05-01 05:20:00,0.0,9.2,8.4,,17.8,9.28,,0.8,,,,,,,
2023-05-01 05:25:00,0.0,10.4,9.9,,17.2,9.13,,0.9,,,,,,,
2023-05-01 05:30:00,0.0,10.7,9.5,,17.8,9.16,,0.8,,,,,,,
2023-05-01 05:35:00,0.0,10.5,9.2,,18.6,9.19,,0.8,,,,,,,
2023-05-01 05:40:00,0.0,9.6,9.1,,18.8,9.49,,0.8,,,,,,,
2023-05-01 05:45:00,0.0,10.5,10.0,,19.2,9.78,,0.7,,,,,,,
2023-05-01 05:50:00,0.4,11.3,11.9,,19.4,9.93,,0.6,,,,,,,
2023-05-01 05:55:00,0.9,11.7,13.0,,19.1,9.99,,0.6,,,,,,,
2023-05-01 06:00:00,1.4,12.7,14.9,,19.3,10.36,,0.7,,,,,,,
2023-05-01 06:05:00,1.8,12.7,15.5,,19.5,10.82,,0.8,,,,,,,
2023-05-01 06:10:00,1.4,11.7,13.8,,20.8,11.42,,0.7,,,,,,,
2023-05-01 06:15:00,1.4,9.5,11.7,,20.9,11.67,,0.9,,,,,,,
2023-05-01 06:20:00,1.8,8.0,10.8,,22.3,11.59,,0.6,,,,,,,
2023-05-01 06:25:00,1.8,9.1,11.9,,26.1,11.7,,0.7,,,,,,,
2023-05-01 06:30:00,2.0,11.0,14.0,,29.1,11.64,,0.9,,,,,,,
2023-05-01 06:35:00,1.9,11.7,14.6,,30.9,11.9,,0.6,,,,,,,
2023-05-01 06:40:00,1.3,11.7,13.7,,28.4,11.57,,0.5,,,,,,,
2023-05-01 06:45:00,1.3,10.9,13.0,,25.1,10.95,,0.6,,,,,,,
2023-05-01 06:50:00,1.6,9.6,12.0,,22.2,10.22,,0.7,,,,,,,
2023-05-01 06:55:00,2.0,9.6,12.7,,20.5,9.53,,0.8,,,,,,,
2023-05-01 07:00:00,2.0,10.2,13.3,,22.0,9.44,,0.7,,,,,,,
2023-05-01 07:05:00,1.7,9.8,12.5,,24.0,9.49,,0.9,,,,,,,
2023-05-01 07:10:00,1.6,8.8,11.2,,24.2,9.37,,0.8,,,,,,,
2023-05-01 07:15:00,0.9,7.4,8.9,,22.9,9.07,,0.5,,,,,,,
2023-05-01 07:20:00,0.5,7.0,7.7,,21.7,8.75,,0.5,,,,,,,
2023-05-01 07:25:00,0.6,6.0,6.8,,24.2,8.9,,0.9,,,,,,,
2023-05-01 07:30:00,0.1,4.5,4.7,,29.9,9.35,,0.7,,,,,,,
