"תחנה","תאריך ושעה (שעון קיץ)","קרינה גלובלית (וואט/מ""ר)"
"בית דגן קרינה","01/05/2023 00:00","0"
"בית דגן קרינה","01/05/2023 00:10","0"
"בית דגן קרינה","01/05/2023 00:20","0"
"בית דגן קרינה","01/05/2023 00:30","0"
"בית דגן קרינה","01/05/2023 00:40","0"
"בית דגן קרינה","01/05/2023 00:50","0"
"בית דגן קרינה","01/05/2023 01:00","0"
"בית דגן קרינה","01/05/2023 01:10","0"
"בית דגן קרינה","01/05/2023 01:20","0"
"בית דגן קרינה","01/05/2023 01:30","0"
"בית דגן קרינה","01/05/2023 01:40","0"
"בית דגן קרינה","01/05/2023 01:50","0"
"בית דגן קרינה","01/05/2023 02:00","0"
"בית דגן קרינה","01/05/2023 02:10","0"
"בית דגן קרינה","01/05/2023 02:20","0"
"בית דגן קרינה","01/05/2023 02:30","0"
"בית דגן קרינה","01/05/2023 02:40","0"
"בית דגן קרינה","01/05/2023 02:50","0"
"בית דגן קרינה","01/05/2023 03:00","0"
"בית דגן קרינה","01/05/2023 03:10","0"
"בית דגן קרינה","01/05/2023 03:20","0"
"בית דגן קרינה","01/05/2023 03:30","0"
"בית דגן קרינה","01/05/2023 03:40","0"
"בית דגן קרינה","01/05/2023 03:50","0"
"בית דגן קרינה","01/05/2023 04:00","0"
"בית דגן קרינה","01/05/2023 04:10","0"
"בית דגן קרינה","01/05/2023 04:20","0"
"בית דגן קרינה","01/05/2023 04:30","0"
"בית דגן קרינה","01/05/2023 04:40","0"
"בית דגן קרינה","01/05/2023 04:50","0"
"בית דגן קרינה","01/05/2023 05:00","0"
"בית דגן קרינה","01/05/2023 05:10","0"
"בית דגן קרינה","01/05/2023 05:20","0"
"בית דגן קרינה","01/05/2023 05:30","0"
"בית דגן קרינה","01/05/2023 05:40","0"
"בית דגן קרינה","01/05/2023 05:50","0"
"בית דגן קרינה","01/05/2023 06:00","0"
"בית דגן קרינה","01/05/2023 06:10","0"
"בית דגן קרינה","01/05/2023 06:20","0"
"בית דגן קרינה","01/05/2023 06:30","33"
"בית דגן קרינה","01/05/2023 06:40","43"
"בית דגן קרינה","01/05/2023 06:50","90"
"בית דגן קרינה","01/05/2023 07:00","143"
"בית דגן קרינה","01/05/2023 07:10","184"
"בית דגן קרינה","01/05/2023 07:20","221"
"בית דגן קרינה","01/05/2023 07:30","259"
"בית דגן קרינה","01/05/2023 07:40","297"
"בית דגן קרינה","01/05/2023 07:50","335"
"בית דגן קרינה","01/05/2023 08:00","371"
"בית דגן קרינה","01/05/2023 08:10","406"
"בית דגן קרינה","01/05/2023 08:20","446"
"בית דגן קרינה","01/05/2023 08:30","484"
"בית דגן קרינה","01/05/2023 08:40","521"
"בית דגן קרינה","01/05/2023 08:50","557"
"בית דגן קרינה","01/05/2023 09:00","588"
"בית דגן קרינה","01/05/2023 09:10","624"
"בית דגן קרינה","01/05/2023 09:20","660"
"בית דגן קרינה","01/05/2023 09:30","691"
"בית דגן קרינה","01/05/2023 09:40","722"
"בית דגן קרינה","01/05/2023 09:50","753"
"בית דגן קרינה","01/05/2023 10:00","787"
"בית דגן קרינה","01/05/2023 10:10","847"
"בית דגן קרינה","01/05/2023 10:20","870"
"בית דגן קרינה","01/05/2023 10:30","867"
"בית דגן קרינה","01/05/2023 10:40","804"
"בית דגן קרינה","01/05/2023 10:50","571"
"בית דגן קרינה","01/05/2023 11:00","833"
"בית דגן קרינה","01/05/2023 11:10","941"
"בית דגן קרינה","01/05/2023 11:20","964"
"בית דגן קרינה","01/05/2023 11:30","954"
"בית דגן קרינה","01/05/2023 11:40","965"
"בית דגן קרינה","01/05/2023 11:50","974"
"בית דגן קרינה","01/05/2023 12:00","978"
"בית דגן קרינה","01/05/2023 12:10","987"
"בית דגן קרינה","01/05/2023 12:20","996"
"בית דגן קרינה","01/05/2023 12:30","996"
"בית דגן קרינה","01/05/2023 12:40","1001"
"בית דגן קרינה","01/05/2023 12:50","1001"
"בית דגן קרינה","01/05/2023 13:00","1006"
"בית דגן קרינה","01/05/2023 13:10","1000"
"בית דגן קרינה","01/05/2023 13:20","997"
"בית דגן קרינה","01/05/2023 13:30","992"
"בית דגן קרינה","01/05/2023 13:40","983"
"בית דגן קרינה","01/05/2023 13:50","969"
"בית דגן קרינה","01/05/2023 14:00","955"
"בית דגן קרינה","01/05/2023 14:10","940"
"בית דגן קרינה","01/05/2023 14:20","926"
"בית דגן קרינה","01/05/2023 14:30","906"
"בית דגן קרינה","01/05/2023 14:40","884"
"בית דגן קרינה","01/05/2023 14:50","862"
"בית דגן קרינה","01/05/2023 15:00","837"
"בית דגן קרינה","01/05/2023 15:10","813"
"בית דגן קרינה","01/05/2023 15:20","785"
"בית דגן קרינה","01/05/2023 15:30","756"
"בית דגן קרינה","01/05/2023 15:40","724"
"בית דגן קרינה","01/05/2023 15:50","692"
"בית דגן קרינה","01/05/2023 16:00","661"
"בית דגן קרינה","01/05/2023 16:10","633"
"בית דגן קרינה","01/05/2023 16:20","604"
"בית דגן קרינה","01/05/2023 16:30","575"
"בית דגן קרינה","01/05/2023 16:40","541"
"בית דגן קרינה","01/05/2023 16:50","507"
"בית דגן קרינה","01/05/2023 17:00","472"
"בית דגן קרינה","01/05/2023 17:10","432"
"בית דגן קרינה","01/05/2023 17:20","394"
"בית דגן קרינה","01/05/2023 17:30","355"
"בית דגן קרינה","01/05/2023 17:40","317"
"בית דגן קרינה","01/05/2023 17:50","274"
"בית דגן קרינה","01/05/2023 18:00","236"
"בית דגן קרינה","01/05/2023 18:10","198"
"בית דגן קרינה","01/05/2023 18:20","164"
"בית דגן קרינה","01/05/2023 18:30","127"
"בית דגן קרינה","01/05/2023 18:40","95"
"בית דגן קרינה","01/05/2023 18:50","55"
"בית דגן קרינה","01/05/2023 19:00","25"
"בית דגן קרינה","01/05/2023 19:10","15"
"בית דגן קרינה","01/05/2023 19:20","6"
"בית דגן קרינה","01/05/2023 19:30","0"
"בית דגן קרינה","01/05/2023 19:40","0"
"בית דגן קרינה","01/05/2023 19:50","0"
"בית דגן קרינה","01/05/2023 20:00","0"
"בית דגן קרינה","01/05/2023 20:10","0"
"בית דגן קרינה","01/05/2023 20:20","0"
"בית דגן קרינה","01/05/2023 20:30","0"
"בית דגן קרינה","01/05/2023 20:40","0"
"בית דגן קרינה","01/05/2023 20:50","0"
"בית דגן קרינה","01/05/2023 21:00","0"
"בית דגן קרינה","01/05/2023 21:10","0"
"בית דגן קרינה","01/05/2023 21:20","0"
"בית דגן קרינה","01/05/2023 21:30","0"
"בית דגן קרינה","01/05/2023 21:40","0"
"בית דגן קרינה","01/05/2023 21:50","0"
"בית דגן קרינה","01/05/2023 22:00","0"
"בית דגן קרינה","01/05/2023 22:10","0"
"בית דגן קרינה","01/05/2023 22:20","0"
"בית דגן קרינה","01/05/2023 22:30","0"
"בית דגן קרינה","01/05/2023 22:40","0"
"בית דגן קרינה","01/05/2023 22:50","0"
"בית דגן קרינה","01/05/2023 23:00","0"
"בית דגן קרינה","01/05/2023 23:10","0"
"בית דגן קרינה","01/05/2023 23:20","0"
"בית דגן קרינה","01/05/2023 23:30","0"
"בית דגן קרינה","01/05/2023 23:40","0"
"בית דגן קרינה","01/05/2023 23:50","0"
"בית דגן קרינה","02/05/2023 00:00","0"
"בית דגן קרינה","02/05/2023 00:10","0"
"בית דגן קרינה","02/05/2023 00:20","0"
"בית דגן קרינה","02/05/2023 00:30","0"
"בית דגן קרינה","02/05/2023 00:40","0"
"בית דגן קרינה","02/05/2023 00:50","0"
"בית דגן קרינה","02/05/2023 01:00","0"
"בית דגן קרינה","02/05/2023 01:10","0"
"בית דגן קרינה","02/05/2023 01:20","0"
"בית דגן קרינה","02/05/2023 01:30","0"
"בית דגן קרינה","02/05/2023 01:40","0"
"בית דגן קרינה","02/05/2023 01:50","0"
"בית דגן קרינה","02/05/2023 02:00","0"
"בית דגן קרינה","02/05/2023 02:10","0"
"בית דגן קרינה","02/05/2023 02:20","0"
"בית דגן קרינה","02/05/2023 02:30","0"
"בית דגן קרינה","02/05/2023 02:40","0"
"בית דגן קרינה","02/05/2023 02:50","0"
"בית דגן קרינה","02/05/2023 03:00","0"
"בית דגן קרינה","02/05/2023 03:10","0"
"בית דגן קרינה","02/05/2023 03:20","0"
"בית דגן קרינה","02/05/2023 03:30","0"
"בית דגן קרינה","02/05/2023 03:40","0"
"בית דגן קרינה","02/05/2023 03:50","0"
"בית דגן קרינה","02/05/2023 04:00","0"
"בית דגן קרינה","02/05/2023 04:10","0"
"בית דגן קרינה","02/05/2023 04:20","0"
"בית דגן קרינה","02/05/2023 04:30","0"
"בית דגן קרינה","02/05/2023 04:40","0"
"בית דגן קרינה","02/05/2023 04:50","0"
"בית דגן קרינה","02/05/2023 05:00","0"
"בית דגן קרינה","02/05/2023 05:10","0"
"בית דגן קרינה","02/05/2023 05:20","0"
"בית דגן קרינה","02/05/2023 05:30","0"
"בית דגן קרינה","02/05/2023 05:40","0"
"בית דגן קרינה","02/05/2023 05:50","0"
"בית דגן קרינה","02/05/2023 06:00","3"
"בית דגן קרינה","02/05/2023 06:10","11"
"בית דגן קרינה","02/05/2023 06:20","21"
"בית דגן קרינה","02/05/2023 06:30","31"
"בית דגן קרינה","02/05/2023 06:40","41"
"בית דגן קרינה","02/05/2023 06:50","95"
"בית דגן קרינה","02/05/2023 07:00","144"
"בית דגן קרינה","02/05/2023 07:10","180"
"בית דגן קרינה","02/05/2023 07:20","216"
"בית דגן קרינה","02/05/2023 07:30","253"
"בית דגן קרינה","02/05/2023 07:40","291"
"בית דגן קרינה","02/05/2023 07:50","329"
"בית דגן קרינה","02/05/2023 08:00","366"
"בית דגן קרינה","02/05/2023 08:10","401"
